"","gene_name","gene_alias","gene_title","chr","map"
"ABCE1","ABCE1","ABCE1","ATP binding cassette subfamily E member 1","4","4q31.21"
"ABCF1","ABCF1","ABCF1","ATP binding cassette subfamily F member 1","6","6p21.33"
"ABCF2","ABCF2","ABCF2","ATP binding cassette subfamily F member 2","7","7q36.1"
"ABCF3","ABCF3","ABCF3","ATP binding cassette subfamily F member 3","3","3q27.1"
"ABHD10","ABHD10","ABHD10","abhydrolase domain containing 10","3","3q13.2"
"ABHD11","ABHD11","ABHD11","abhydrolase domain containing 11","7","7q11.23"
"ABHD12","ABHD12","ABHD12","abhydrolase domain containing 12","20","20p11.21"
"ABHD14B","ABHD14B","ABHD14B","abhydrolase domain containing 14B","3","3p21.2"
"ABHD15","ABHD15","ABHD15","abhydrolase domain containing 15","17","17q11.2"
"ABHD16A","ABHD16A","ABHD16A;BAT5","abhydrolase domain containing 16A","6","6p21.33"
"ABHD5","ABHD5","ABHD5","abhydrolase domain containing 5","3","3p21.33"
"ABI1","ABI1","ABI1","abl interactor 1","10","10p12.1"
"ABI3","ABI3","ABI3","ABI family member 3","17","17q21.32"
"ABL1","ABL1","ABL1","ABL proto-oncogene 1, non-receptor tyrosine kinase","9","9q34.12"
"ABLIM1","ABLIM1","ABLIM1","actin binding LIM protein 1","10","10q25.3"
"ABLIM2","ABLIM2","ABLIM2","actin binding LIM protein family member 2","4","4p16.1"
"ABR","ABR","ABR","ABR, RhoGEF and GTPase activating protein","17","17p13.3"
"ABRACL","ABRACL","ABRACL","ABRA C-terminal like","6","6q24.1"
"ABT1","ABT1","ABT1","activator of basal transcription 1","6","6p22.2"
"ACAA1","ACAA1","ACAA1","acetyl-CoA acyltransferase 1","3","3p22.2"
"ACAA2","ACAA2","ACAA2","acetyl-CoA acyltransferase 2","18","18q21.1"
"ACACA","ACACA","ACACA","acetyl-CoA carboxylase alpha","17","17q12"
"ACACB","ACACB","ACACB","acetyl-CoA carboxylase beta","12","12q24.11"
"ACAD10","ACAD10","ACAD10","acyl-CoA dehydrogenase family member 10","12","12q24.12"
"ACAD8","ACAD8","ACAD8","acyl-CoA dehydrogenase family member 8","11","11q25"
"ACAD9","ACAD9","ACAD9","acyl-CoA dehydrogenase family member 9","3","3q21.3"
"ACADM","ACADM","ACADM","acyl-CoA dehydrogenase medium chain","1","1p31.1"
"ACADS","ACADS","ACADS","acyl-CoA dehydrogenase short chain","12","12q24.31"
"ACADSB","ACADSB","ACADSB","acyl-CoA dehydrogenase short/branched chain","10","10q26.13"
"ACADVL","ACADVL","ACADVL","acyl-CoA dehydrogenase very long chain","17","17p13.1"
"ACAP1","ACAP1","ACAP1","ArfGAP with coiled-coil, ankyrin repeat and PH domains 1","17","17p13.1"
"ACAP2","ACAP2","ACAP2","ArfGAP with coiled-coil, ankyrin repeat and PH domains 2","3","3q29"
"ACAP3","ACAP3","ACAP3","ArfGAP with coiled-coil, ankyrin repeat and PH domains 3","1","1p36.33"
"ACAT1","ACAT1","ACAT1","acetyl-CoA acetyltransferase 1","11","11q22.3"
"ACAT2","ACAT2","ACAT2","acetyl-CoA acetyltransferase 2","6","6q25.3"
"ACBD3","ACBD3","ACBD3","acyl-CoA binding domain containing 3","1","1q42.12"
"ACBD5","ACBD5","ACBD5","acyl-CoA binding domain containing 5","10","10p12.1"
"ACBD6","ACBD6","ACBD6","acyl-CoA binding domain containing 6","1","1q25.2-q25.3"
"ACD","ACD","ACD","ACD, shelterin complex subunit and telomerase recruitment factor","16","16q22.1"
"ACE","ACE","ACE","angiotensin I converting enzyme","17","17q23.3"
"ACIN1","ACIN1","ACIN1","apoptotic chromatin condensation inducer 1","14","14q11.2"
"ACLY","ACLY","ACLY","ATP citrate lyase","17","17q21.2"
"ACN9","ACN9","ACN9",NA,NA,NA
"ACO1","ACO1","ACO1;IRP1","aconitase 1","9","9p21.1"
"ACO2","ACO2","ACO2","aconitase 2","22","22q13.2"
"ACOT1","ACOT1","ACOT1","acyl-CoA thioesterase 1","14","14q24.3"
"ACOT13","ACOT13","ACOT13","acyl-CoA thioesterase 13","6","6p22.3"
"ACOT2","ACOT2","ACOT2","acyl-CoA thioesterase 2","14","14q24.3"
"ACOT8","ACOT8","ACOT8","acyl-CoA thioesterase 8","20","20q13.12"
"ACOT9","ACOT9","ACOT9","acyl-CoA thioesterase 9","X","Xp22.11"
"ACOX1","ACOX1","ACOX1","acyl-CoA oxidase 1","17","17q25.1"
"ACOX3","ACOX3","ACOX3","acyl-CoA oxidase 3, pristanoyl","4","4p16.1"
"ACP1","ACP1","ACP1","acid phosphatase 1","2","2p25.3"
"ACP2","ACP2","ACP2","acid phosphatase 2, lysosomal","11","11p11.2"
"ACP5","ACP5","ACP5","acid phosphatase 5, tartrate resistant","19","19p13.2"
"ACP6","ACP6","ACP6","acid phosphatase 6, lysophosphatidic","1","1q21.2"
"ACSF2","ACSF2","ACSF2","acyl-CoA synthetase family member 2","17","17q21.33"
"ACSF3","ACSF3","ACSF3","acyl-CoA synthetase family member 3","16","16q24.3"
"ACSL1","ACSL1","ACSL1","acyl-CoA synthetase long chain family member 1","4","4q35.1"
"ACSL3","ACSL3","ACSL3","acyl-CoA synthetase long chain family member 3","2","2q36.1"
"ACSL4","ACSL4","ACSL4","acyl-CoA synthetase long chain family member 4","X","Xq23"
"ACSL5","ACSL5","ACSL5","acyl-CoA synthetase long chain family member 5","10","10q25.2"
"ACSM3","ACSM3","ACSM3","acyl-CoA synthetase medium chain family member 3","16","16p12.3"
"ACSS1","ACSS1","ACSS1","acyl-CoA synthetase short chain family member 1","20","20p11.21"
"ACSS2","ACSS2","ACSS2","acyl-CoA synthetase short chain family member 2","20","20q11.22"
"ACTBL2","ACTBL2","ACTBL2","actin, beta like 2","5","5q11.2"
"ACTC1","ACTC1","ACTC1","actin, alpha, cardiac muscle 1","15","15q14"
"ACTG1","ACTG1","ACTG1","actin gamma 1","17","17q25.3"
"ACTL6A","ACTL6A","ACTL6A","actin like 6A","3","3q26.33"
"ACTN1","ACTN1","ACTN1","actinin alpha 1","14","14q24.1"
"ACTN4","ACTN4","ACTN4","actinin alpha 4","19","19q13.2"
"ACTR10","ACTR10","ACTR10","actin related protein 10 homolog","14","14q23.1"
"ACTR1A","ACTR1A","ACTR1A","ARP1 actin related protein 1 homolog A","10","10q24.32"
"ACTR1B","ACTR1B","ACTR1B","ARP1 actin related protein 1 homolog B","2","2q11.2"
"ACTR2","ACTR2","ACTR2","ARP2 actin related protein 2 homolog","2","2p14"
"ACTR3","ACTR3","ACTR3","ARP3 actin related protein 3 homolog","2","2q14.1"
"ACTR3B","ACTR3B","ACTR3B","ARP3 actin related protein 3 homolog B","7","7q36.1-q36.2"
"ACTR5","ACTR5","ACTR5","ARP5 actin related protein 5 homolog","20","20q11.23"
"ACTR6","ACTR6","ACTR6","ARP6 actin related protein 6 homolog","12","12q23.1"
"ACTR8","ACTR8","ACTR8","ARP8 actin related protein 8 homolog","3","3p21.1"
"ACVR1","ACVR1","ACVR1","activin A receptor type 1","2","2q24.1"
"ACVR2A","ACVR2A","ACVR2A","activin A receptor type 2A","2","2q22.3-q23.1"
"ACY1","ACY1","ACY1","aminoacylase 1","3","3p21.2"
"ACYP1","ACYP1","ACYP1","acylphosphatase 1","14","14q24.3"
"ACYP2","ACYP2","ACYP2","acylphosphatase 2","2","2p16.2"
"ADA","ADA","ADA","adenosine deaminase","20","20q13.12"
"ADAL","ADAL","ADAL","adenosine deaminase like","15","15q15.3"
"ADAM10","ADAM10","ADAM10","ADAM metallopeptidase domain 10","15","15q21.3"
"ADAM17","ADAM17","ADAM17","ADAM metallopeptidase domain 17","2","2p25.1"
"ADAM8","ADAM8","ADAM8","ADAM metallopeptidase domain 8","10","10q26.3"
"ADAR","ADAR","ADAR","adenosine deaminase, RNA specific","1","1q21.3"
"ADARB1","ADARB1","ADARB1","adenosine deaminase, RNA specific B1","21","21q22.3"
"ADAT2","ADAT2","ADAT2","adenosine deaminase, tRNA specific 2","6","6q24.2"
"ADAT3","ADAT3","ADAT3","adenosine deaminase, tRNA specific 3","19","19p13.3"
"ADCK1","ADCK1","ADCK1","aarF domain containing kinase 1","14","14q24.3"
"ADCK3","ADCK3","ADCK3;CABC1",NA,NA,NA
"ADCK4","ADCK4","ADCK4",NA,NA,NA
"ADD1","ADD1","ADD1","adducin 1","4","4p16.3"
"ADD2","ADD2","ADD2","adducin 2","2","2p13.3"
"ADD3","ADD3","ADD3","adducin 3","10","10q25.1-q25.2"
"ADH5","ADH5","ADH5","alcohol dehydrogenase 5 (class III), chi polypeptide","4","4q23"
"ADI1","ADI1","ADI1","acireductone dioxygenase 1","2","2p25.3"
"ADK","ADK","ADK","adenosine kinase","10","10q22.2"
"ADNP","ADNP","ADNP","activity dependent neuroprotector homeobox","20","20q13.13"
"ADNP2","ADNP2","ADNP2","ADNP homeobox 2","18","18q23"
"ADO","ADO","ADO","2-aminoethanethiol dioxygenase","10","10q21.3"
"ADPGK","ADPGK","ADPGK","ADP dependent glucokinase","15","15q24.1"
"ADPRH","ADPRH","ADPRH","ADP-ribosylarginine hydrolase","3","3q13.33"
"ADPRHL2","ADPRHL2","ADPRHL2","ADP-ribosylhydrolase like 2","1","1p34.3"
"ADRBK1","ADRBK1","ADRBK1",NA,NA,NA
"ADRM1","ADRM1","ADRM1","adhesion regulating molecule 1","20","20q13.33"
"ADSL","ADSL","ADSL","adenylosuccinate lyase","22","22q13.1"
"ADSS","ADSS","ADSS","adenylosuccinate synthase","1","1q44"
"AEBP1","AEBP1","AEBP1","AE binding protein 1","7","7p13"
"AEBP2","AEBP2","AEBP2","AE binding protein 2","12","12p12.3"
"AES","AES","AES","amino-terminal enhancer of split","19","19p13.3"
"AFAP1","AFAP1","AFAP1","actin filament associated protein 1","4","4p16.1"
"AFF1","AFF1","AFF1","AF4/FMR2 family member 1","4","4q21.3-q22.1"
"AFF4","AFF4","AFF4","AF4/FMR2 family member 4","5","5q31.1"
"AFG3L2","AFG3L2","AFG3L2","AFG3 like matrix AAA peptidase subunit 2","18","18p11.21"
"AFM","AFM","AFM","afamin","4","4q13.3"
"AFTPH","AFTPH","AFTPH","aftiphilin","2","2p14"
"AGA","AGA","AGA","aspartylglucosaminidase","4","4q34.3"
"AGAP2","AGAP2","AGAP2","ArfGAP with GTPase domain, ankyrin repeat and PH domain 2","12","12q14.1"
"AGAP3","AGAP3","AGAP3","ArfGAP with GTPase domain, ankyrin repeat and PH domain 3","7","7q36.1"
"AGFG1","AGFG1","AGFG1","ArfGAP with FG repeats 1","2","2q36.3"
"AGFG2","AGFG2","AGFG2","ArfGAP with FG repeats 2","7","7q22.1"
"AGGF1","AGGF1","AGGF1","angiogenic factor with G-patch and FHA domains 1","5","5q13.3"
"AGK","AGK","AGK","acylglycerol kinase","7","7q34"
"AGL","AGL","AGL","amylo-alpha-1, 6-glucosidase, 4-alpha-glucanotransferase","1","1p21.2"
"AGMAT","AGMAT","AGMAT","agmatinase","1","1p36.21"
"AGPAT1","AGPAT1","AGPAT1","1-acylglycerol-3-phosphate O-acyltransferase 1","6","6p21.32"
"AGPAT2","AGPAT2","AGPAT2","1-acylglycerol-3-phosphate O-acyltransferase 2","9","9q34.3"
"AGPAT3","AGPAT3","AGPAT3","1-acylglycerol-3-phosphate O-acyltransferase 3","21","21q22.3"
"AGPAT5","AGPAT5","AGPAT5","1-acylglycerol-3-phosphate O-acyltransferase 5","8","8p23.1"
"AGPAT6","AGPAT6","AGPAT6",NA,NA,NA
"AGPS","AGPS","AGPS","alkylglycerone phosphate synthase","2","2q31.2"
"AGT","AGT","AGT","angiotensinogen","1","1q42.2"
"AGTPBP1","AGTPBP1","AGTPBP1","ATP/GTP binding protein 1","9","9q21.33"
"AGTRAP","AGTRAP","AGTRAP","angiotensin II receptor associated protein","1","1p36.22"
"AGXT2L2","AGXT2L2","AGXT2L2",NA,NA,NA
"AHCTF1","AHCTF1","AHCTF1","AT-hook containing transcription factor 1","1","1q44"
"AHCY","AHCY","AHCY","adenosylhomocysteinase","20","20q11.22"
"AHCYL1","AHCYL1","AHCYL1","adenosylhomocysteinase like 1","1","1p13.3"
"AHCYL2","AHCYL2","AHCYL2","adenosylhomocysteinase like 2","7","7q32.1"
"AHI1","AHI1","AHI1","Abelson helper integration site 1","6","6q23.3"
"AHNAK","AHNAK","AHNAK","AHNAK nucleoprotein","11","11q12.3"
"AHR","AHR","AHR","aryl hydrocarbon receptor","7","7p21.1"
"AHSA1","AHSA1","AHSA1","activator of HSP90 ATPase activity 1","14","14q24.3"
"AHSG","AHSG","AHSG","alpha 2-HS glycoprotein","3","3q27.3"
"AIDA","AIDA","AIDA","axin interactor, dorsalization associated","1","1q41"
"AIFM1","AIFM1","AIFM1","apoptosis inducing factor mitochondria associated 1","X","Xq26.1"
"AIM1","AIM1","AIM1",NA,NA,NA
"AIMP1","AIMP1","AIMP1","aminoacyl tRNA synthetase complex interacting multifunctional protein 1","4","4q24"
"AIMP2","AIMP2","AIMP2","aminoacyl tRNA synthetase complex interacting multifunctional protein 2","7","7p22.1"
"AIP","AIP","AIP","aryl hydrocarbon receptor interacting protein","11","11q13.2"
"AK2","AK2","AK2","adenylate kinase 2","1","1p35.1"
"AK3","AK3","AK3","adenylate kinase 3","9","9p24.1"
"AK4","AK4","AK4","adenylate kinase 4","1","1p31.3"
"AK5","AK5","AK5","adenylate kinase 5","1","1p31.1"
"AKAP1","AKAP1","AKAP1","A-kinase anchoring protein 1","17","17q22"
"AKAP10","AKAP10","AKAP10","A-kinase anchoring protein 10","17","17p11.2"
"AKAP11","AKAP11","AKAP11","A-kinase anchoring protein 11","13","13q14.11"
"AKAP12","AKAP12","AKAP12","A-kinase anchoring protein 12","6","6q25.1"
"AKAP13","AKAP13","AKAP13","A-kinase anchoring protein 13","15","15q25.3"
"AKAP17A","AKAP17A","AKAP17A","A-kinase anchoring protein 17A","X","Xp22.33"
"AKAP2","AKAP2","AKAP2","A-kinase anchoring protein 2","9","9q31.3"
"AKAP7","AKAP7","AKAP7","A-kinase anchoring protein 7","6","6q23.2"
"AKAP8","AKAP8","AKAP8","A-kinase anchoring protein 8","19","19p13.12"
"AKAP8L","AKAP8L","AKAP8L","A-kinase anchoring protein 8 like","19","19p13.12"
"AKAP9","AKAP9","AKAP9","A-kinase anchoring protein 9","7","7q21.2"
"AKNA","AKNA","AKNA","AT-hook transcription factor","9","9q32"
"AKR1A1","AKR1A1","AKR1A1","aldo-keto reductase family 1 member A1","1","1p34.1"
"AKR1B1","AKR1B1","AKR1B1","aldo-keto reductase family 1 member B","7","7q33"
"AKR1C3","AKR1C3","AKR1C3","aldo-keto reductase family 1 member C3","10","10p15.1"
"AKR7A2","AKR7A2","AKR7A2","aldo-keto reductase family 7 member A2","1","1p36.13"
"AKT1","AKT1","AKT1","AKT serine/threonine kinase 1","14","14q32.33"
"AKT1S1","AKT1S1","AKT1S1","AKT1 substrate 1","19","19q13.33"
"AKT2","AKT2","AKT2","AKT serine/threonine kinase 2","19","19q13.2"
"AKT3","AKT3","AKT3","AKT serine/threonine kinase 3","1","1q43-q44"
"AKTIP","AKTIP","AKTIP","AKT interacting protein","16","16q12.2"
"ALAD","ALAD","ALAD","aminolevulinate dehydratase","9","9q32"
"ALAS1","ALAS1","ALAS1","5'-aminolevulinate synthase 1","3","3p21.2"
"ALCAM","ALCAM","ALCAM","activated leukocyte cell adhesion molecule","3","3q13.11"
"ALDH16A1","ALDH16A1","ALDH16A1","aldehyde dehydrogenase 16 family member A1","19","19q13.33"
"ALDH18A1","ALDH18A1","ALDH18A1","aldehyde dehydrogenase 18 family member A1","10","10q24.1"
"ALDH1B1","ALDH1B1","ALDH1B1","aldehyde dehydrogenase 1 family member B1","9","9p13.1"
"ALDH1L2","ALDH1L2","ALDH1L2","aldehyde dehydrogenase 1 family member L2","12","12q23.3"
"ALDH3A2","ALDH3A2","ALDH3A2","aldehyde dehydrogenase 3 family member A2","17","17p11.2"
"ALDH4A1","ALDH4A1","ALDH4A1","aldehyde dehydrogenase 4 family member A1","1","1p36.13"
"ALDH5A1","ALDH5A1","ALDH5A1","aldehyde dehydrogenase 5 family member A1","6","6p22.3"
"ALDH6A1","ALDH6A1","ALDH6A1","aldehyde dehydrogenase 6 family member A1","14","14q24.3"
"ALDH7A1","ALDH7A1","ALDH7A1","aldehyde dehydrogenase 7 family member A1","5","5q23.2"
"ALDH9A1","ALDH9A1","ALDH9A1","aldehyde dehydrogenase 9 family member A1","1","1q24.1"
"ALDOA","ALDOA","ALDOA","aldolase, fructose-bisphosphate A","16","16p11.2"
"ALDOC","ALDOC","ALDOC","aldolase, fructose-bisphosphate C","17","17q11.2"
"ALG1","ALG1","ALG1","ALG1, chitobiosyldiphosphodolichol beta-mannosyltransferase","16","16p13.3"
"ALG10","ALG10","ALG10;ALG10B","ALG10, alpha-1,2-glucosyltransferase","12","12p11.1"
"ALG11","ALG11","ALG11","ALG11, alpha-1,2-mannosyltransferase","13","13q14.3"
"ALG12","ALG12","ALG12","ALG12, alpha-1,6-mannosyltransferase","22","22q13.33"
"ALG13","ALG13","ALG13","ALG13, UDP-N-acetylglucosaminyltransferase subunit","X","Xq23"
"ALG2","ALG2","ALG2","ALG2, alpha-1,3/1,6-mannosyltransferase","9","9q22.33"
"ALG3","ALG3","ALG3","ALG3, alpha-1,3- mannosyltransferase","3","3q27.1"
"ALG5","ALG5","ALG5","ALG5, dolichyl-phosphate beta-glucosyltransferase","13","13q13.3"
"ALG6","ALG6","ALG6","ALG6, alpha-1,3-glucosyltransferase","1","1p31.3"
"ALG8","ALG8","ALG8","ALG8, alpha-1,3-glucosyltransferase","11","11q14.1"
"ALG9","ALG9","ALG9","ALG9, alpha-1,2-mannosyltransferase","11","11q23.1"
"ALKBH1","ALKBH1","ALKBH1","alkB homolog 1, histone H2A dioxygenase","14","14q24.3"
"ALKBH2","ALKBH2","ALKBH2","alkB homolog 2, alpha-ketoglutarate dependent dioxygenase","12","12q24.11"
"ALKBH3","ALKBH3","ALKBH3","alkB homolog 3, alpha-ketoglutaratedependent dioxygenase","11","11p11.2"
"ALKBH4","ALKBH4","ALKBH4","alkB homolog 4, lysine demethylase","7","7q22.1"
"ALKBH5","ALKBH5","ALKBH5","alkB homolog 5, RNA demethylase","17","17p11.2"
"ALKBH6","ALKBH6","ALKBH6","alkB homolog 6","19","19q13.12"
"ALKBH8","ALKBH8","ALKBH8","alkB homolog 8, tRNA methyltransferase","11","11q22.3"
"ALMS1","ALMS1","ALMS1","ALMS1, centrosome and basal body associated protein","2","2p13.1"
"ALOX5","ALOX5","ALOX5","arachidonate 5-lipoxygenase","10","10q11.21"
"ALOX5AP","ALOX5AP","ALOX5AP","arachidonate 5-lipoxygenase activating protein","13","13q12.3"
"ALPK1","ALPK1","ALPK1","alpha kinase 1","4","4q25"
"ALS2","ALS2","ALS2","ALS2, alsin Rho guanine nucleotide exchange factor","2","2q33.1"
"ALYREF","ALYREF","ALYREF","Aly/REF export factor","17","17q25.3"
"AMBP","AMBP","AMBP","alpha-1-microglobulin/bikunin precursor","9","9q32"
"AMBRA1","AMBRA1","AMBRA1","autophagy and beclin 1 regulator 1","11","11p11.2"
"AMD1","AMD1","AMD1","adenosylmethionine decarboxylase 1","6","6q21"
"AMDHD2","AMDHD2","AMDHD2","amidohydrolase domain containing 2","16","16p13.3"
"AMFR","AMFR","AMFR","autocrine motility factor receptor","16","16q13"
"AMICA1","AMICA1","AMICA1",NA,NA,NA
"AMIGO2","AMIGO2","AMIGO2","adhesion molecule with Ig like domain 2","12","12q13.11"
"AMPD2","AMPD2","AMPD2","adenosine monophosphate deaminase 2","1","1p13.3"
"AMPD3","AMPD3","AMPD3","adenosine monophosphate deaminase 3","11","11p15.4"
"AMZ2","AMZ2","AMZ2","archaelysin family metallopeptidase 2","17","17q24.2"
"ANAPC1","ANAPC1","ANAPC1","anaphase promoting complex subunit 1","2","2q13"
"ANAPC10","ANAPC10","ANAPC10","anaphase promoting complex subunit 10","4","4q31.21"
"ANAPC16","ANAPC16","ANAPC16","anaphase promoting complex subunit 16","10","10q22.1"
"ANAPC2","ANAPC2","ANAPC2","anaphase promoting complex subunit 2","9","9q34.3"
"ANAPC4","ANAPC4","ANAPC4","anaphase promoting complex subunit 4","4","4p15.2"
"ANAPC5","ANAPC5","ANAPC5","anaphase promoting complex subunit 5","12","12q24.31"
"ANAPC7","ANAPC7","ANAPC7","anaphase promoting complex subunit 7","12","12q24.11"
"ANGEL2","ANGEL2","ANGEL2","angel homolog 2","1","1q32.3"
"ANK1","ANK1","ANK1","ankyrin 1","8","8p11.21"
"ANK2","ANK2","ANK2","ankyrin 2","4","4q25-q26"
"ANK3","ANK3","ANK3","ankyrin 3","10","10q21.2"
"ANKFY1","ANKFY1","ANKFY1","ankyrin repeat and FYVE domain containing 1","17","17p13.2"
"ANKH","ANKH","ANKH","ANKH inorganic pyrophosphate transport regulator","5","5p15.2"
"ANKHD1","ANKHD1","ANKHD1","ankyrin repeat and KH domain containing 1","5","5q31.3"
"ANKLE2","ANKLE2","ANKLE2","ankyrin repeat and LEM domain containing 2","12","12q24.33"
"ANKMY2","ANKMY2","ANKMY2","ankyrin repeat and MYND domain containing 2","7","7p21.1"
"ANKRD10","ANKRD10","ANKRD10","ankyrin repeat domain 10","13","13q34"
"ANKRD11","ANKRD11","ANKRD11","ankyrin repeat domain 11","16","16q24.3"
"ANKRD12","ANKRD12","ANKRD12","ankyrin repeat domain 12","18","18p11.22"
"ANKRD13A","ANKRD13A","ANKRD13A","ankyrin repeat domain 13A","12","12q24.11"
"ANKRD13D","ANKRD13D","ANKRD13D","ankyrin repeat domain 13D","11","11q13.2"
"ANKRD17","ANKRD17","ANKRD17","ankyrin repeat domain 17","4","4q13.3"
"ANKRD28","ANKRD28","ANKRD28","ankyrin repeat domain 28","3","3p25.1"
"ANKRD36","ANKRD36","ANKRD36;ANKRD36B","ankyrin repeat domain 36","2","2q11.2"
"ANKRD39","ANKRD39","ANKRD39","ankyrin repeat domain 39","2","2q11.2"
"ANKRD40","ANKRD40","ANKRD40","ankyrin repeat domain 40","17","17q21.33"
"ANKRD44","ANKRD44","ANKRD44","ankyrin repeat domain 44","2","2q33.1"
"ANKRD52","ANKRD52","ANKRD52","ankyrin repeat domain 52","12","12q13.3"
"ANKS6","ANKS6","ANKS6","ankyrin repeat and sterile alpha motif domain containing 6","9","9q22.33"
"ANKZF1","ANKZF1","ANKZF1","ankyrin repeat and zinc finger domain containing 1","2","2q35"
"ANLN","ANLN","ANLN","anillin actin binding protein","7","7p14.2"
"ANO10","ANO10","ANO10","anoctamin 10","3","3p22.1-p21.33"
"ANO6","ANO6","ANO6","anoctamin 6","12","12q12"
"ANO9","ANO9","ANO9","anoctamin 9","11","11p15.5"
"ANP32A","ANP32A","ANP32A","acidic nuclear phosphoprotein 32 family member A","15","15q23"
"ANP32B","ANP32B","ANP32B","acidic nuclear phosphoprotein 32 family member B","9","9q22.33"
"ANP32E","ANP32E","ANP32E","acidic nuclear phosphoprotein 32 family member E","1","1q21.2"
"ANTXR2","ANTXR2","ANTXR2","ANTXR cell adhesion molecule 2","4","4q21.21"
"ANXA1","ANXA1","ANXA1","annexin A1","9","9q21.13"
"ANXA11","ANXA11","ANXA11","annexin A11","10","10q22.3"
"ANXA2","ANXA2","ANXA2;ANXA2P2","annexin A2","15","15q22.2"
"ANXA3","ANXA3","ANXA3","annexin A3","4","4q21.21"
"ANXA4","ANXA4","ANXA4","annexin A4","2","2p13.3"
"ANXA5","ANXA5","ANXA5","annexin A5","4","4q27"
"ANXA6","ANXA6","ANXA6","annexin A6","5","5q33.1"
"ANXA7","ANXA7","ANXA7","annexin A7","10","10q22.2"
"AP1AR","AP1AR","AP1AR","adaptor related protein complex 1 associated regulatory protein","4","4q25"
"AP1B1","AP1B1","AP1B1","adaptor related protein complex 1 subunit beta 1","22","22q12.2"
"AP1G1","AP1G1","AP1G1","adaptor related protein complex 1 subunit gamma 1","16","16q22.2"
"AP1G2","AP1G2","AP1G2","adaptor related protein complex 1 subunit gamma 2","14","14q11.2"
"AP1M1","AP1M1","AP1M1","adaptor related protein complex 1 subunit mu 1","19","19p13.11"
"AP1S1","AP1S1","AP1S1","adaptor related protein complex 1 subunit sigma 1","7","7q22.1"
"AP1S2","AP1S2","AP1S2","adaptor related protein complex 1 subunit sigma 2","X","Xp22.2"
"AP2A1","AP2A1","AP2A1","adaptor related protein complex 2 subunit alpha 1","19","19q13.33"
"AP2A2","AP2A2","AP2A2","adaptor related protein complex 2 subunit alpha 2","11","11p15.5"
"AP2B1","AP2B1","AP2B1","adaptor related protein complex 2 subunit beta 1","17","17q12"
"AP2M1","AP2M1","AP2M1","adaptor related protein complex 2 subunit mu 1","3","3q27.1"
"AP2S1","AP2S1","AP2S1","adaptor related protein complex 2 subunit sigma 1","19","19q13.32"
"AP3B1","AP3B1","AP3B1","adaptor related protein complex 3 subunit beta 1","5","5q14.1"
"AP3D1","AP3D1","AP3D1","adaptor related protein complex 3 subunit delta 1","19","19p13.3"
"AP3M1","AP3M1","AP3M1","adaptor related protein complex 3 subunit mu 1","10","10q22.2"
"AP3M2","AP3M2","AP3M2","adaptor related protein complex 3 subunit mu 2","8","8p11.21"
"AP3S1","AP3S1","AP3S1","adaptor related protein complex 3 subunit sigma 1","5","5q22.3-q23.1"
"AP4B1","AP4B1","AP4B1","adaptor related protein complex 4 subunit beta 1","1","1p13.2"
