"ensemble_id","gene_name","description"
"ENSG00000286094","AC026740.3","zinc finger DHHC-type containing 11B [Source:NCBI gene;Acc:653082]"
"ENSG00000276017","AC007325.1",""
"ENSG00000275917","CHRFAM7A","CHRNA7 (exons 5-10) and FAM7A (exons A-E) fusion [Source:HGNC Symbol;Acc:HGNC:15781]"
"ENSG00000277923","MBOAT7","membrane bound O-acyltransferase domain containing 7 [Source:HGNC Symbol;Acc:HGNC:15505]"
"ENSG00000280584","OBP2B","odorant binding protein 2B [Source:HGNC Symbol;Acc:HGNC:23381]"
"ENSG00000276628","LENG1","leukocyte receptor cluster member 1 [Source:HGNC Symbol;Acc:HGNC:15502]"
"ENSG00000275049","AC011295.2",""
"ENSG00000143954","REG3G","regenerating family member 3 gamma [Source:HGNC Symbol;Acc:HGNC:29595]"
"ENSG00000109107","ALDOC","aldolase, fructose-bisphosphate C [Source:HGNC Symbol;Acc:HGNC:418]"
"ENSG00000114735","HEMK1","HemK methyltransferase family member 1 [Source:HGNC Symbol;Acc:HGNC:24923]"
"ENSG00000145107","TM4SF19","transmembrane 4 L six family member 19 [Source:HGNC Symbol;Acc:HGNC:25167]"
"ENSG00000140285","FGF7","fibroblast growth factor 7 [Source:HGNC Symbol;Acc:HGNC:3685]"
"ENSG00000104472","CHRAC1","chromatin accessibility complex subunit 1 [Source:HGNC Symbol;Acc:HGNC:13544]"
"ENSG00000118496","FBXO30","F-box protein 30 [Source:HGNC Symbol;Acc:HGNC:15600]"
"ENSG00000116996","ZP4","zona pellucida glycoprotein 4 [Source:HGNC Symbol;Acc:HGNC:15770]"
"ENSG00000134545","KLRC1","killer cell lectin like receptor C1 [Source:HGNC Symbol;Acc:HGNC:6374]"
"ENSG00000274609","KIR2DL4","killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 4 [Source:HGNC Symbol;Acc:HGNC:6332]"
"ENSG00000276739","KIR3DL2","killer cell immunoglobulin like receptor, three Ig domains and long cytoplasmic tail 2 [Source:HGNC Symbol;Acc:HGNC:6339]"
"ENSG00000108984","MAP2K6","mitogen-activated protein kinase kinase 6 [Source:HGNC Symbol;Acc:HGNC:6846]"
"ENSG00000213123","TCTEX1D2","Tctex1 domain containing 2 [Source:HGNC Symbol;Acc:HGNC:28482]"
"ENSG00000177469","CAVIN1","caveolae associated protein 1 [Source:HGNC Symbol;Acc:HGNC:9688]"
"ENSG00000157765","SLC34A2","solute carrier family 34 member 2 [Source:HGNC Symbol;Acc:HGNC:11020]"
"ENSG00000159259","CHAF1B","chromatin assembly factor 1 subunit B [Source:HGNC Symbol;Acc:HGNC:1911]"
"ENSG00000103876","FAH","fumarylacetoacetate hydrolase [Source:HGNC Symbol;Acc:HGNC:3579]"
"ENSG00000089157","RPLP0","ribosomal protein lateral stalk subunit P0 [Source:HGNC Symbol;Acc:HGNC:10371]"
"ENSG00000270188","MTRNR2L11","MT-RNR2 like 11 [Source:HGNC Symbol;Acc:HGNC:37168]"
"ENSG00000242389","RBMY1E","RNA binding motif protein Y-linked family 1 member E [Source:HGNC Symbol;Acc:HGNC:23916]"
"ENSG00000149548","CCDC15","coiled-coil domain containing 15 [Source:HGNC Symbol;Acc:HGNC:25798]"
"ENSG00000276634","KIR2DS4","killer cell immunoglobulin like receptor, two Ig domains and short cytoplasmic tail 4 [Source:HGNC Symbol;Acc:HGNC:6336]"
"ENSG00000146414","SHPRH","SNF2 histone linker PHD RING helicase [Source:HGNC Symbol;Acc:HGNC:19336]"
"ENSG00000114547","ROPN1B","rhophilin associated tail protein 1B [Source:HGNC Symbol;Acc:HGNC:31927]"
"ENSG00000274926","KIR2DL1","killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 1 [Source:HGNC Symbol;Acc:HGNC:6329]"
"ENSG00000168748","CA7","carbonic anhydrase 7 [Source:HGNC Symbol;Acc:HGNC:1381]"
"ENSG00000116117","PARD3B","par-3 family cell polarity regulator beta [Source:HGNC Symbol;Acc:HGNC:14446]"
"ENSG00000159256","MORC3","MORC family CW-type zinc finger 3 [Source:HGNC Symbol;Acc:HGNC:23572]"
"ENSG00000163312","HELQ","helicase, POLQ like [Source:HGNC Symbol;Acc:HGNC:18536]"
"ENSG00000203685","STUM","stum, mechanosensory transduction mediator homolog [Source:HGNC Symbol;Acc:HGNC:30491]"
"ENSG00000161217","PCYT1A","phosphate cytidylyltransferase 1, choline, alpha [Source:HGNC Symbol;Acc:HGNC:8754]"
"ENSG00000274933","TBC1D3I","TBC1 domain family member 3I [Source:HGNC Symbol;Acc:HGNC:32709]"
"ENSG00000153976","HS3ST3A1","heparan sulfate-glucosamine 3-sulfotransferase 3A1 [Source:HGNC Symbol;Acc:HGNC:5196]"
"ENSG00000111325","OGFOD2","2-oxoglutarate and iron dependent oxygenase domain containing 2 [Source:HGNC Symbol;Acc:HGNC:25823]"
"ENSG00000172478","MAB21L4","mab-21 like 4 [Source:HGNC Symbol;Acc:HGNC:26216]"
"ENSG00000114021","NIT2","nitrilase family member 2 [Source:HGNC Symbol;Acc:HGNC:29878]"
"ENSG00000143772","ITPKB","inositol-trisphosphate 3-kinase B [Source:HGNC Symbol;Acc:HGNC:6179]"
"ENSG00000122257","RBBP6","RB binding protein 6, ubiquitin ligase [Source:HGNC Symbol;Acc:HGNC:9889]"
"ENSG00000163947","ARHGEF3","Rho guanine nucleotide exchange factor 3 [Source:HGNC Symbol;Acc:HGNC:683]"
"ENSG00000172023","REG1B","regenerating family member 1 beta [Source:HGNC Symbol;Acc:HGNC:9952]"
"ENSG00000227600","PPT2","palmitoyl-protein thioesterase 2 [Source:HGNC Symbol;Acc:HGNC:9326]"
"ENSG00000265817","FSBP","fibrinogen silencer binding protein [Source:HGNC Symbol;Acc:HGNC:43653]"
"ENSG00000197275","RAD54B","RAD54 homolog B [Source:HGNC Symbol;Acc:HGNC:17228]"
"ENSG00000126882","FAM78A","family with sequence similarity 78 member A [Source:HGNC Symbol;Acc:HGNC:25465]"
"ENSG00000187151","ANGPTL5","angiopoietin like 5 [Source:HGNC Symbol;Acc:HGNC:19705]"
"ENSG00000226321","CROCC2","ciliary rootlet coiled-coil, rootletin family member 2 [Source:HGNC Symbol;Acc:HGNC:51677]"
"ENSG00000090402","SI","sucrase-isomaltase [Source:HGNC Symbol;Acc:HGNC:10856]"
"ENSG00000110318","CEP126","centrosomal protein 126 [Source:HGNC Symbol;Acc:HGNC:29264]"
"ENSG00000197563","PIGN","phosphatidylinositol glycan anchor biosynthesis class N [Source:HGNC Symbol;Acc:HGNC:8967]"
"ENSG00000123612","ACVR1C","activin A receptor type 1C [Source:HGNC Symbol;Acc:HGNC:18123]"
"ENSG00000138083","SIX3","SIX homeobox 3 [Source:HGNC Symbol;Acc:HGNC:10889]"
"ENSG00000244731","C4A","complement C4A (Rodgers blood group) [Source:HGNC Symbol;Acc:HGNC:1323]"
"ENSG00000120370","GORAB","golgin, RAB6 interacting [Source:HGNC Symbol;Acc:HGNC:25676]"
"ENSG00000105552","BCAT2","branched chain amino acid transaminase 2 [Source:HGNC Symbol;Acc:HGNC:977]"
"ENSG00000117480","FAAH","fatty acid amide hydrolase [Source:HGNC Symbol;Acc:HGNC:3553]"
"ENSG00000172020","GAP43","growth associated protein 43 [Source:HGNC Symbol;Acc:HGNC:4140]"
"ENSG00000115568","ZNF142","zinc finger protein 142 [Source:HGNC Symbol;Acc:HGNC:12927]"
"ENSG00000011028","MRC2","mannose receptor C type 2 [Source:HGNC Symbol;Acc:HGNC:16875]"
"ENSG00000006695","COX10","cytochrome c oxidase assembly factor heme A:farnesyltransferase COX10 [Source:HGNC Symbol;Acc:HGNC:2260]"
"ENSG00000198156","NPIPB6","nuclear pore complex interacting protein family member B6 [Source:HGNC Symbol;Acc:HGNC:37454]"
"ENSG00000176170","SPHK1","sphingosine kinase 1 [Source:HGNC Symbol;Acc:HGNC:11240]"
"ENSG00000258472","AC005726.1","novel protein"
"ENSG00000273331","TM4SF19-TCTEX1D2","TM4SF19-TCTEX1D2 readthrough (NMD candidate) [Source:HGNC Symbol;Acc:HGNC:49190]"
"ENSG00000142515","KLK3","kallikrein related peptidase 3 [Source:HGNC Symbol;Acc:HGNC:6364]"
"ENSG00000160307","S100B","S100 calcium binding protein B [Source:HGNC Symbol;Acc:HGNC:10500]"
"ENSG00000164220","F2RL2","coagulation factor II thrombin receptor like 2 [Source:HGNC Symbol;Acc:HGNC:3539]"
"ENSG00000272741","AC069257.4","novel protein"
"ENSG00000087111","PIGS","phosphatidylinositol glycan anchor biosynthesis class S [Source:HGNC Symbol;Acc:HGNC:14937]"
"ENSG00000205336","ADGRG1","adhesion G protein-coupled receptor G1 [Source:HGNC Symbol;Acc:HGNC:4512]"
"ENSG00000163959","SLC51A","solute carrier family 51 alpha subunit [Source:HGNC Symbol;Acc:HGNC:29955]"
"ENSG00000157978","LDLRAP1","low density lipoprotein receptor adaptor protein 1 [Source:HGNC Symbol;Acc:HGNC:18640]"
"ENSG00000074582","BCS1L","BCS1 homolog, ubiquinol-cytochrome c reductase complex chaperone [Source:HGNC Symbol;Acc:HGNC:1020]"
"ENSG00000163808","KIF15","kinesin family member 15 [Source:HGNC Symbol;Acc:HGNC:17273]"
"ENSG00000146776","ATXN7L1","ataxin 7 like 1 [Source:HGNC Symbol;Acc:HGNC:22210]"
"ENSG00000114978","MOB1A","MOB kinase activator 1A [Source:HGNC Symbol;Acc:HGNC:16015]"
"ENSG00000173064","HECTD4","HECT domain E3 ubiquitin protein ligase 4 [Source:HGNC Symbol;Acc:HGNC:26611]"
"ENSG00000161542","PRPSAP1","phosphoribosyl pyrophosphate synthetase associated protein 1 [Source:HGNC Symbol;Acc:HGNC:9466]"
"ENSG00000228859","LY6G6C","lymphocyte antigen 6 family member G6C [Source:HGNC Symbol;Acc:HGNC:13936]"
"ENSG00000136960","ENPP2","ectonucleotide pyrophosphatase/phosphodiesterase 2 [Source:HGNC Symbol;Acc:HGNC:3357]"
"ENSG00000076650","GPATCH1","G-patch domain containing 1 [Source:HGNC Symbol;Acc:HGNC:24658]"
"ENSG00000065320","NTN1","netrin 1 [Source:HGNC Symbol;Acc:HGNC:8029]"
"ENSG00000121871","SLITRK3","SLIT and NTRK like family member 3 [Source:HGNC Symbol;Acc:HGNC:23501]"
"ENSG00000007216","SLC13A2","solute carrier family 13 member 2 [Source:HGNC Symbol;Acc:HGNC:10917]"
"ENSG00000224393","MPIG6B","megakaryocyte and platelet inhibitory receptor G6b [Source:HGNC Symbol;Acc:HGNC:13937]"
"ENSG00000143801","PSEN2","presenilin 2 [Source:HGNC Symbol;Acc:HGNC:9509]"
"ENSG00000132600","PRMT7","protein arginine methyltransferase 7 [Source:HGNC Symbol;Acc:HGNC:25557]"
"ENSG00000155099","PIP4P2","phosphatidylinositol-4,5-bisphosphate 4-phosphatase 2 [Source:HGNC Symbol;Acc:HGNC:25452]"
"ENSG00000066405","CLDN18","claudin 18 [Source:HGNC Symbol;Acc:HGNC:2039]"
"ENSG00000168757","TSPY2","testis specific protein Y-linked 2 [Source:HGNC Symbol;Acc:HGNC:23924]"
"ENSG00000170577","SIX2","SIX homeobox 2 [Source:HGNC Symbol;Acc:HGNC:10888]"
"ENSG00000114200","BCHE","butyrylcholinesterase [Source:HGNC Symbol;Acc:HGNC:983]"
"ENSG00000160539","PLPP7","phospholipid phosphatase 7 (inactive) [Source:HGNC Symbol;Acc:HGNC:28174]"
"ENSG00000163960","UBXN7","UBX domain protein 7 [Source:HGNC Symbol;Acc:HGNC:29119]"
"ENSG00000044574","HSPA5","heat shock protein family A (Hsp70) member 5 [Source:HGNC Symbol;Acc:HGNC:5238]"
"ENSG00000115386","REG1A","regenerating family member 1 alpha [Source:HGNC Symbol;Acc:HGNC:9951]"
"ENSG00000274533","KIR2DS4","killer cell immunoglobulin like receptor, two Ig domains and short cytoplasmic tail 4 [Source:HGNC Symbol;Acc:HGNC:6336]"
"ENSG00000259316","AC087632.2","novel protein"
"ENSG00000109101","FOXN1","forkhead box N1 [Source:HGNC Symbol;Acc:HGNC:12765]"
"ENSG00000073737","DHRS9","dehydrogenase/reductase 9 [Source:HGNC Symbol;Acc:HGNC:16888]"
"ENSG00000184205","TSPYL2","TSPY like 2 [Source:HGNC Symbol;Acc:HGNC:24358]"
"ENSG00000169807","PRY2","PTPN13 like Y-linked 2 [Source:HGNC Symbol;Acc:HGNC:21504]"
"ENSG00000206535","LNP1","leukemia NUP98 fusion partner 1 [Source:HGNC Symbol;Acc:HGNC:28014]"
"ENSG00000158163","DZIP1L","DAZ interacting zinc finger protein 1 like [Source:HGNC Symbol;Acc:HGNC:26551]"
"ENSG00000109103","UNC119","unc-119 lipid binding chaperone [Source:HGNC Symbol;Acc:HGNC:12565]"
"ENSG00000154174","TOMM70","translocase of outer mitochondrial membrane 70 [Source:HGNC Symbol;Acc:HGNC:11985]"
"ENSG00000163961","RNF168","ring finger protein 168 [Source:HGNC Symbol;Acc:HGNC:26661]"
"ENSG00000092841","MYL6","myosin light chain 6 [Source:HGNC Symbol;Acc:HGNC:7587]"
"ENSG00000277709","KIR3DL2","killer cell immunoglobulin like receptor, three Ig domains and long cytoplasmic tail 2 [Source:HGNC Symbol;Acc:HGNC:6339]"
"ENSG00000204348","DXO","decapping exoribonuclease [Source:HGNC Symbol;Acc:HGNC:2992]"
"ENSG00000276996","SLC6A3","solute carrier family 6 member 3 [Source:HGNC Symbol;Acc:HGNC:11049]"
"ENSG00000153721","CNKSR3","CNKSR family member 3 [Source:HGNC Symbol;Acc:HGNC:23034]"
"ENSG00000235956","PRRT1","proline rich transmembrane protein 1 [Source:HGNC Symbol;Acc:HGNC:13943]"
"ENSG00000214097","SMCO1","single-pass membrane protein with coiled-coil domains 1 [Source:HGNC Symbol;Acc:HGNC:27407]"
"ENSG00000166747","AP1G1","adaptor related protein complex 1 subunit gamma 1 [Source:HGNC Symbol;Acc:HGNC:555]"
"ENSG00000186451","SPATA12","spermatogenesis associated 12 [Source:HGNC Symbol;Acc:HGNC:23221]"
"ENSG00000204930","FAM221B","family with sequence similarity 221 member B [Source:HGNC Symbol;Acc:HGNC:30762]"
"ENSG00000166803","PCLAF","PCNA clamp associated factor [Source:HGNC Symbol;Acc:HGNC:28961]"
"ENSG00000169964","TMEM42","transmembrane protein 42 [Source:HGNC Symbol;Acc:HGNC:28444]"
"ENSG00000012504","NR1H4","nuclear receptor subfamily 1 group H member 4 [Source:HGNC Symbol;Acc:HGNC:7967]"
"ENSG00000169800","RBMY1F","RNA binding motif protein Y-linked family 1 member F [Source:HGNC Symbol;Acc:HGNC:23974]"
"ENSG00000260238","PMF1-BGLAP","PMF1-BGLAP readthrough [Source:HGNC Symbol;Acc:HGNC:42953]"
"ENSG00000285645","AL133410.3","Novel protein"
"ENSG00000153317","ASAP1","ArfGAP with SH3 domain, ankyrin repeat and PH domain 1 [Source:HGNC Symbol;Acc:HGNC:2720]"
"ENSG00000137103","TMEM8B","transmembrane protein 8B [Source:HGNC Symbol;Acc:HGNC:21427]"
"ENSG00000083812","ZNF324","zinc finger protein 324 [Source:HGNC Symbol;Acc:HGNC:14096]"
"ENSG00000176428","VPS37D","VPS37D subunit of ESCRT-I [Source:HGNC Symbol;Acc:HGNC:18287]"
"ENSG00000185798","WDR53","WD repeat domain 53 [Source:HGNC Symbol;Acc:HGNC:28786]"
"ENSG00000242252","BGLAP","bone gamma-carboxyglutamate protein [Source:HGNC Symbol;Acc:HGNC:1043]"
"ENSG00000018610","CXorf56","chromosome X open reading frame 56 [Source:HGNC Symbol;Acc:HGNC:26239]"
"ENSG00000176715","ACSF3","acyl-CoA synthetase family member 3 [Source:HGNC Symbol;Acc:HGNC:27288]"
"ENSG00000160781","PAQR6","progestin and adipoQ receptor family member 6 [Source:HGNC Symbol;Acc:HGNC:30132]"
"ENSG00000083807","SLC27A5","solute carrier family 27 member 5 [Source:HGNC Symbol;Acc:HGNC:10999]"
"ENSG00000175538","KCNE3","potassium voltage-gated channel subfamily E regulatory subunit 3 [Source:HGNC Symbol;Acc:HGNC:6243]"
"ENSG00000181085","MAPK15","mitogen-activated protein kinase 15 [Source:HGNC Symbol;Acc:HGNC:24667]"
"ENSG00000100505","TRIM9","tripartite motif containing 9 [Source:HGNC Symbol;Acc:HGNC:16288]"
"ENSG00000174013","FBXO45","F-box protein 45 [Source:HGNC Symbol;Acc:HGNC:29148]"
"ENSG00000169118","CSNK1G1","casein kinase 1 gamma 1 [Source:HGNC Symbol;Acc:HGNC:2454]"
"ENSG00000169064","ZBBX","zinc finger B-box domain containing [Source:HGNC Symbol;Acc:HGNC:26245]"
"ENSG00000112038","OPRM1","opioid receptor mu 1 [Source:HGNC Symbol;Acc:HGNC:8156]"
"ENSG00000204344","STK19","serine/threonine kinase 19 [Source:HGNC Symbol;Acc:HGNC:11398]"
"ENSG00000083838","ZNF446","zinc finger protein 446 [Source:HGNC Symbol;Acc:HGNC:21036]"
"ENSG00000104835","SARS2","seryl-tRNA synthetase 2, mitochondrial [Source:HGNC Symbol;Acc:HGNC:17697]"
"ENSG00000137133","HINT2","histidine triad nucleotide binding protein 2 [Source:HGNC Symbol;Acc:HGNC:18344]"
"ENSG00000147509","RGS20","regulator of G protein signaling 20 [Source:HGNC Symbol;Acc:HGNC:14600]"
"ENSG00000103056","SMPD3","sphingomyelin phosphodiesterase 3 [Source:HGNC Symbol;Acc:HGNC:14240]"
"ENSG00000166359","WDR88","WD repeat domain 88 [Source:HGNC Symbol;Acc:HGNC:26999]"
"ENSG00000286221","AC009070.1","novel protein"
"ENSG00000165434","PGM2L1","phosphoglucomutase 2 like 1 [Source:HGNC Symbol;Acc:HGNC:20898]"
"ENSG00000166451","CENPN","centromere protein N [Source:HGNC Symbol;Acc:HGNC:30873]"
"ENSG00000123908","AGO2","argonaute RISC catalytic component 2 [Source:HGNC Symbol;Acc:HGNC:3263]"
"ENSG00000275921","CU633846.1","killer cell immunoglobulin like receptor, two Ig domains and short cytoplasmic tail 1 [Source:NCBI gene;Acc:3806]"
"ENSG00000174007","CEP19","centrosomal protein 19 [Source:HGNC Symbol;Acc:HGNC:28209]"
"ENSG00000174004","NRROS","negative regulator of reactive oxygen species [Source:HGNC Symbol;Acc:HGNC:24613]"
"ENSG00000013375","PGM3","phosphoglucomutase 3 [Source:HGNC Symbol;Acc:HGNC:8907]"
"ENSG00000158525","CPA5","carboxypeptidase A5 [Source:HGNC Symbol;Acc:HGNC:15722]"
"ENSG00000153822","KCNJ16","potassium inwardly rectifying channel subfamily J member 16 [Source:HGNC Symbol;Acc:HGNC:6262]"
"ENSG00000154845","PPP4R1","protein phosphatase 4 regulatory subunit 1 [Source:HGNC Symbol;Acc:HGNC:9320]"
"ENSG00000143995","MEIS1","Meis homeobox 1 [Source:HGNC Symbol;Acc:HGNC:7000]"
"ENSG00000102271","KLHL4","kelch like family member 4 [Source:HGNC Symbol;Acc:HGNC:6355]"
"ENSG00000155100","OTUD6B","OTU deubiquitinase 6B [Source:HGNC Symbol;Acc:HGNC:24281]"
"ENSG00000163964","PIGX","phosphatidylinositol glycan anchor biosynthesis class X [Source:HGNC Symbol;Acc:HGNC:26046]"
"ENSG00000118017","A4GNT","alpha-1,4-N-acetylglucosaminyltransferase [Source:HGNC Symbol;Acc:HGNC:17968]"
"ENSG00000173838","MARCHF10","membrane associated ring-CH-type finger 10 [Source:HGNC Symbol;Acc:HGNC:26655]"
"ENSG00000185565","LSAMP","limbic system associated membrane protein [Source:HGNC Symbol;Acc:HGNC:6705]"
"ENSG00000176410","DNAJC30","DnaJ heat shock protein family (Hsp40) member C30 [Source:HGNC Symbol;Acc:HGNC:16410]"
"ENSG00000138231","DBR1","debranching RNA lariats 1 [Source:HGNC Symbol;Acc:HGNC:15594]"
"ENSG00000269190","FBXO17","F-box protein 17 [Source:HGNC Symbol;Acc:HGNC:18754]"
"ENSG00000196465","MYL6B","myosin light chain 6B [Source:HGNC Symbol;Acc:HGNC:29823]"
"ENSG00000071462","BUD23","BUD23 rRNA methyltransferase and ribosome maturation factor [Source:HGNC Symbol;Acc:HGNC:16405]"
"ENSG00000160783","PMF1","polyamine modulated factor 1 [Source:HGNC Symbol;Acc:HGNC:9112]"
"ENSG00000129910","CDH15","cadherin 15 [Source:HGNC Symbol;Acc:HGNC:1754]"
"ENSG00000269547","AC011455.2","novel protein"
"ENSG00000100206","DMC1","DNA meiotic recombinase 1 [Source:HGNC Symbol;Acc:HGNC:2927]"
"ENSG00000161243","FBXO27","F-box protein 27 [Source:HGNC Symbol;Acc:HGNC:18753]"
"ENSG00000259803","SLC22A31","solute carrier family 22 member 31 [Source:HGNC Symbol;Acc:HGNC:27091]"
"ENSG00000266967","AARSD1","alanyl-tRNA synthetase domain containing 1 [Source:HGNC Symbol;Acc:HGNC:28417]"
"ENSG00000139613","SMARCC2","SWI/SNF related, matrix associated, actin dependent regulator of chromatin subfamily c member 2 [Source:HGNC Symbol;Acc:HGNC:11105]"
"ENSG00000180370","PAK2","p21 (RAC1) activated kinase 2 [Source:HGNC Symbol;Acc:HGNC:8591]"
"ENSG00000128626","MRPS12","mitochondrial ribosomal protein S12 [Source:HGNC Symbol;Acc:HGNC:10380]"
"ENSG00000164050","PLXNB1","plexin B1 [Source:HGNC Symbol;Acc:HGNC:9103]"
"ENSG00000136451","VEZF1","vascular endothelial zinc finger 1 [Source:HGNC Symbol;Acc:HGNC:12949]"
"ENSG00000162951","LRRTM1","leucine rich repeat transmembrane neuronal 1 [Source:HGNC Symbol;Acc:HGNC:19408]"
"ENSG00000143669","LYST","lysosomal trafficking regulator [Source:HGNC Symbol;Acc:HGNC:1968]"
"ENSG00000170100","ZNF778","zinc finger protein 778 [Source:HGNC Symbol;Acc:HGNC:26479]"
"ENSG00000114204","SERPINI2","serpin family I member 2 [Source:HGNC Symbol;Acc:HGNC:8945]"
"ENSG00000163932","PRKCD","protein kinase C delta [Source:HGNC Symbol;Acc:HGNC:9399]"
"ENSG00000066032","CTNNA2","catenin alpha 2 [Source:HGNC Symbol;Acc:HGNC:2510]"
"ENSG00000168710","AHCYL1","adenosylhomocysteinase like 1 [Source:HGNC Symbol;Acc:HGNC:344]"
"ENSG00000188536","HBA2","hemoglobin subunit alpha 2 [Source:HGNC Symbol;Acc:HGNC:4824]"
"ENSG00000119231","SENP5","SUMO specific peptidase 5 [Source:HGNC Symbol;Acc:HGNC:28407]"
"ENSG00000134532","SOX5","SRY-box transcription factor 5 [Source:HGNC Symbol;Acc:HGNC:11201]"
"ENSG00000135677","GNS","glucosamine (N-acetyl)-6-sulfatase [Source:HGNC Symbol;Acc:HGNC:4422]"
"ENSG00000166454","ATMIN","ATM interactor [Source:HGNC Symbol;Acc:HGNC:29034]"
"ENSG00000196233","LCOR","ligand dependent nuclear receptor corepressor [Source:HGNC Symbol;Acc:HGNC:29503]"
"ENSG00000108825","PTGES3L-AARSD1","PTGES3L-AARSD1 readthrough [Source:HGNC Symbol;Acc:HGNC:43946]"
"ENSG00000141564","RPTOR","regulatory associated protein of MTOR complex 1 [Source:HGNC Symbol;Acc:HGNC:30287]"
"ENSG00000260643","AC092718.3","novel protein"
"ENSG00000125746","EML2","EMAP like 2 [Source:HGNC Symbol;Acc:HGNC:18035]"
"ENSG00000130055","GDPD2","glycerophosphodiester phosphodiesterase domain containing 2 [Source:HGNC Symbol;Acc:HGNC:25974]"
"ENSG00000151655","ITIH2","inter-alpha-trypsin inhibitor heavy chain 2 [Source:HGNC Symbol;Acc:HGNC:6167]"
"ENSG00000103121","CMC2","C-X9-C motif containing 2 [Source:HGNC Symbol;Acc:HGNC:24447]"
"ENSG00000174776","WDR49","WD repeat domain 49 [Source:HGNC Symbol;Acc:HGNC:26587]"
"ENSG00000288520","AL357075.4","CNK3/IPCEF1 fusion protein  [Source:UniProtKB/Swiss-Prot;Acc:G9CGD6]"
"ENSG00000106089","STX1A","syntaxin 1A [Source:HGNC Symbol;Acc:HGNC:11433]"
"ENSG00000074706","IPCEF1","interaction protein for cytohesin exchange factors 1 [Source:HGNC Symbol;Acc:HGNC:21204]"
"ENSG00000181458","TMEM45A","transmembrane protein 45A [Source:HGNC Symbol;Acc:HGNC:25480]"
"ENSG00000114503","NCBP2","nuclear cap binding protein subunit 2 [Source:HGNC Symbol;Acc:HGNC:7659]"
"ENSG00000158715","SLC45A3","solute carrier family 45 member 3 [Source:HGNC Symbol;Acc:HGNC:8642]"
"ENSG00000206172","HBA1","hemoglobin subunit alpha 1 [Source:HGNC Symbol;Acc:HGNC:4823]"
