speciesType	tissueType	UberonOntologyID	cancerType	cellType	cellName	CellOntologyID	cellMarker	geneSymbol	geneID	proteinName	proteinID	markerResource	PMID	Company
Mouse	Undefined	NA	Gastric Cancer	Cancer cell	Cancer stem-like cell	NA	CD44	Cd44	12505	CD44	P15379	Experiment	25286029	NA
Mouse	Bone marrow	UBERON_0002371	Normal	Normal cell	Endothelial progenitor cell	CL_0002619	CD133, CD34	Prom1, Cd34	19126, 12490	PROM1, CD34	O54990, Q64314	Experiment	27186272	NA
Mouse	Heart	UBERON_0000948	Normal	Normal cell	Cardiomyocyte	CL_0000746	Cardiac troponin I	Tnnc1	21924	TNNC1	P19123	Experiment	28764858	NA
Mouse	Esophagus	UBERON_0001043	Normal	Normal cell	Oesophageal progenitor cell	NA	CD24	Cd24a	12484	CD24	P24807	Experiment	25897018	NA
Mouse	Esophagus	UBERON_0001043	Normal	Normal cell	Oesophageal stem cell	CL_0000034	CD24	Cd24a	12484	CD24	P24807	Experiment	25897018	NA
Mouse	Prostate	UBERON_0002367	Normal	Normal cell	Prostate stem cell	CL_0002339	CD166	Alcam	11658	CD166	Q61490	Experiment	22880034	NA
Mouse	Prostate	UBERON_0002367	Normal	Normal cell	Prostate progenitor cell	NA	CD166	Alcam	11658	CD166	Q61490	Experiment	22880034	NA
Mouse	Prostate	UBERON_0002367	Prostate Cancer	Cancer cell	Cancer stem cell	NA	CD166	Alcam	11658	CD166	Q61490	Experiment	22880034	NA
Mouse	Small intestine	UBERON_0002108	Normal	Normal cell	Enteroendocrine cell	CL_0000164	Claudin-4	Cldn4	12740	CLD4	O35054	Experiment	24603700	NA
Mouse	Small intestine	UBERON_0002108	Normal	Normal cell	Epithelial cell	CL_0000066	Claudin-4	Cldn4	12740	CLD4	O35054	Experiment	24603700	NA
Mouse	Undefined	NA	Normal	Normal cell	Neural stem cell	CL_0000047	Fgfr4	Fgfr4	14186	FGFR4	Q03142	Experiment	27716282	NA
Mouse	Dermis	UBERON_0002067	Normal	Normal cell	Endothelial cell	CL_0000115	CD105, CD11b, CD31, CD45, Vegfr1, Vegfr2	Eng, Itgam, Pecam1, Ptprc, Flt1, Kdr	13805, 16409, 18613, 19264, 14254, 16542	EGLN, ITAM, PECA1, PTPRC, VGFR1, VGFR2	Q63961, P05555, Q08481, P06800, P35969, P35918	Experiment	24602018	NA
Mouse	Embryoid body	UBERON_0014374	Normal	Normal cell	Endometrial precursor cell	NA	CD13, CD9	Anpep, Cd9	16790, 12527	AMPN, CD9	P97449, P40240	Experiment	28716123	NA
Mouse	Embryoid body	UBERON_0014374	Normal	Normal cell	Mesenchymal stem cell	CL_0000134	CD146, CD45, PDGFR-beta	Mcam, Ptprc, Pdgfrb	84004, 19264, 18596	MUC18, PTPRC, PGFRB	Q8R2Y2, P06800, P05622	Experiment	28716123	NA
Mouse	Pancreas	UBERON_0001264	Normal	Normal cell	Beta cell	CL_0000169	GLUT2, Ngn3, Pdx1	Slc2a2, Neurog3, Pdx1	20526, 11925, 18609	GTR2, NGN3, PDX1	P14246, P70661, P52946	Experiment	25101835	NA
Mouse	Ovary	UBERON_0000992	Normal	Normal cell	Ovarian somatic cell	CL_0002371	Foxl2, Lgr5, Nr2f2	Foxl2, Lgr5, Nr2f2	26927, 14160, 11819	FOXL2, LGR5, COT2	O88470, Q9Z1P4, P43135	Experiment	25158167	NA
Mouse	Bone marrow	UBERON_0002371	Normal	Normal cell	B cell	CL_0000236	CD43, CD45, IgM	Spn, Ptprc, Cd40lg	20737, 19264, 21947	LEUK, PTPRC, CD40L	P15702, P06800, P27548	Experiment	23943443	NA
Mouse	Spleen	UBERON_0002106	Normal	Normal cell	Marginal zone B cell	CL_0000845	CD21, CD23, IgD, IgM	Cr2, Fcer2a, IgD family, Cd40lg	12902, 14128, IgD family, 21947	CR2, FCER2, IgD family, CD40L	P19070, P20693, IgD family, P27548	Experiment	25015269	NA
Mouse	Spleen	UBERON_0002106	Normal	Normal cell	T1 (Transitional) B cell	CL_0000958	CD21, CD23, IgM	Cr2, Fcer2a, Cd40lg	12902, 14128, 21947	CR2, FCER2, CD40L	P19070, P20693, P27548	Experiment	25015269	NA
Mouse	Peripheral blood	UBERON_0005408	Normal	Normal cell	T cell	CL_0000084	CD3	[Cd3d, Cd3e, Cd3g]	[12500, 12501, 12502]	[CD3D, CD3E, CD3G]	[P04235, P22646, P11942]	Experiment	24370645	NA
Mouse	Peripheral blood	UBERON_0005408	Normal	Normal cell	T helper cell	CL_0000912	CD4, CD8	Cd4, Cd8a	12504, 12525	CD4, CD8A	P06332, P01731	Experiment	24370645	NA
Mouse	Peripheral blood	UBERON_0005408	Normal	Normal cell	Cytotoxic T cell	CL_0000910	CD4, CD8	Cd4, Cd8a	12504, 12525	CD4, CD8A	P06332, P01731	Experiment	24370645	NA
Mouse	Peripheral blood	UBERON_0005408	Normal	Normal cell	B cell	CL_0000236	CD19	Cd19	12478	CD19	P25918	Experiment	24370645	NA
Mouse	Peripheral blood	UBERON_0005408	Normal	Normal cell	Natural killer cell	CL_0000623	NK1.1	Klrb1c	17059	KLRBC	P27814	Experiment	24370645	NA
Mouse	Kidney	UBERON_0002113	Normal	Normal cell	Neuron	CL_0000540	beta III-tubulin	Tubb3	22152	TBB3	Q9ERD7	Experiment	24586819	NA
Mouse	Kidney	UBERON_0002113	Normal	Normal cell	Oligodendrocyte	CL_0000128	Galc	Galc	14420	GALC	P54818	Experiment	24586819	NA
Mouse	Kidney	UBERON_0002113	Normal	Normal cell	Astrocyte	CL_0000127	GFAP	Gfap	14580	GFAP	P03995	Experiment	24586819	NA
Mouse	Kidney	UBERON_0002113	Normal	Normal cell	Microglial cell	CL_0000129	CD11b	Itgam	16409	ITAM	P05555	Experiment	24586819	NA
Mouse	Spleen	UBERON_0002106	Normal	Normal cell	B cell	CL_0000236	CD19, CD79a	Cd19, Cd79a	12478, 12518	CD19, CD79A	P25918, P11911	Experiment	29373896	NA
Mouse	Inner nuclear layer of retina	UBERON_0001791	Normal	Normal cell	Amacrine cell	CL_0000561	Pax6	Pax6	18508	PAX6	P63015	Experiment	27679853	NA
Mouse	Ganglion cell layer of retina	UBERON_0008926	Normal	Normal cell	Retinal ganglion cell	CL_0000740	Pax6	Pax6	18508	PAX6	P63015	Experiment	27679853	NA
Mouse	Umbilical cord	UBERON_0002331	Normal	Normal cell	Unrestricted somatic stem cell	CL_0000723	CD105, CD166, CD31, CD34, CD45, CD90	Eng, Alcam, Pecam1, Cd34, Ptprc, Thy1	13805, 11658, 18613, 12490, 19264, 21838	EGLN, CD166, PECA1, CD34, PTPRC, THY1	Q63961, Q61490, Q08481, Q64314, P06800, P01831	Experiment	29087592	NA
Mouse	Undefined	NA	Normal	Normal cell	Germ cell	CL_0000586	Dazl, Mvh, Scp3, Stra8	Dazl, Ddx4, Sycp3, Stra8	13164, 13206, 20962, 20899	DAZL, DDX4, SYCP3, STRA8	Q64368, Q61496, P70281, P70278	Experiment	28921810	NA
Mouse	Bone marrow	UBERON_0002371	Normal	Normal cell	Mesenchymal stem cell	CL_0000134	CD44, CD90	Cd44, Thy1	12505, 21838	CD44, THY1	P15379, P01831	Experiment	28921810	NA
Mouse	Adipose tissue	UBERON_0001013	Normal	Normal cell	Mesenchymal stem cell	CL_0000134	CD44, CD90	Cd44, Thy1	12505, 21838	CD44, THY1	P15379, P01831	Experiment	28921810	NA
Mouse	Heart	UBERON_0000948	Normal	Normal cell	Cardiac progenitor cell	NA	Hcn4	Hcn4	330953	HCN4	O70507	Experiment	23974038	NA
Mouse	White adipose tissue	UBERON_0001347	Normal	Normal cell	Adipogenic progenitor cell	NA	Sca-1, Lin	Ly6a, NA	110454, NA	LY6A, NA	P05533, NA	Experiment	28244038	NA
Mouse	Lymph node	UBERON_0000029	Normal	Normal cell	B cell	CL_0000236	B220, CD19	Ptprc, Cd19	19264, 12478	PTPRC, CD19	P06800, P25918	Experiment	25186098	NA
Mouse	Lymph node	UBERON_0000029	Normal	Normal cell	T cell	CL_0000084	CD3	[Cd3d, Cd3e, Cd3g]	[12500, 12501, 12502]	[CD3D, CD3E, CD3G]	[P04235, P22646, P11942]	Experiment	25186098	NA
Mouse	Lymph node	UBERON_0000029	Normal	Normal cell	T helper cell	CL_0000912	CD4	Cd4	12504	CD4	P06332	Experiment	25186098	NA
Mouse	Lymph node	UBERON_0000029	Normal	Normal cell	Cytotoxic T cell	CL_0000910	CD8	Cd8a	12525	CD8A	P01731	Experiment	25186098	NA
Mouse	Lymph node	UBERON_0000029	Normal	Normal cell	Activated T cell	CL_0000084	CD69	Cd69	12515	CD69	P37217	Experiment	25186098	NA
Mouse	Lymph node	UBERON_0000029	Normal	Normal cell	Activated B cell	CL_0000236	MHC class II	MHC class II	MHC class II	MHC class II	MHC class II	Experiment	25186098	NA
Mouse	Blood	UBERON_0000178	Normal	Normal cell	Hematopoietic cell	CL_0000988	Vav1	Vav1	22324	VAV	P27870	Experiment	24446236	NA
Mouse	Blood	UBERON_0000178	Normal	Normal cell	Embryonic stem cell	CL_0002322	B2m, Bmp4, Brachyury, Fgf4, Lif, Lifr, Nanog, Pou5f1, Rex1, Sox2, Stat3, Tert	B2m, Bmp4, T2, Fgf4, Lif, Lifr, Nanog, Pou5f1, Zfp42, Sox2, Stat3, Tert	12010, 12159, 21331, 14175, 16878, 16880, 71950, 18999, 22702, 20674, 20848, 21752	B2MG, BMP4, BRAC, FGF4, LIF, LIFR, NANOG, PO5F1, ZFP42, SOX2, STAT3, TERT	P01887, P21275, P20293, P09056, P11403, P42703, Q80Z64, P20263, P22227, P48432, P42227, O70372	Experiment	22888050	NA
Mouse	Bone marrow	UBERON_0002371	Normal	Normal cell	Mesenchymal stem cell	CL_0000134	PDGFR-alpha	Pdgfra	18595	PGFRA	P26618	Experiment	23766770	NA
Mouse	Bone marrow	UBERON_0002371	Normal	Normal cell	Mesenchymal stem cell	CL_0000134	CD29, CD45, CD90	Itgb1, Ptprc, Thy1	16412, 19264, 21838	ITB1, PTPRC, THY1	P09055, P06800, P01831	Experiment	22781302	NA
Mouse	Colon epithelium	UBERON_0000397	Normal	Normal cell	Intestinal stem cell	CL_0000034	Dclk1	Dclk1	13175	DCLK1	Q9JLM8	Experiment	23387204	NA
Mouse	Cochlea	UBERON_0001844	Normal	Normal cell	Tympanic border cell	CL_0002168	BrdU, Ki67	NA, Mki67	NA, 17345	NA, KI67	NA, E9PVX6	Experiment	23119055	NA
Mouse	Ovary	UBERON_0000992	Normal	Normal cell	Oogonial stem cell	CL_0000034	Ddx4	Ddx4	13206	DDX4	Q61496	Experiment	23598447	NA
Mouse	Ovary	UBERON_0000992	Normal	Normal cell	Oogonial stem cell	CL_0000034	Ifitm3	Ifitm3	66141	IFM3	Q9CQW9	Experiment	23598447	NA
Mouse	Adipose tissue	UBERON_0001013	Normal	Normal cell	Adipose-derived stem cell	CL_0000034	CD271, Lin, Sca-1	Ngfr, NA, Ly6a	18053, NA, 110454	TNR16, NA, LY6A	Q9Z0W1, NA, P05533	Experiment	23430356	NA
Mouse	Undefined	NA	Lung Cancer	Cancer cell	Side-population cell	NA	ABCG2, CD44, Oct4	Abcg2, Cd44, Pou5f1	26357, 12505, 18999	ABCG2, CD44, PO5F1	Q7TMS5, P15379, P20263	Experiment	22631644	NA
Mouse	Basilar membrane	UBERON_0002226	Normal	Normal cell	Auditory progenitor cell	NA	Nestin	Nes	18008	NEST	Q6P5H2	Experiment	26223713	NA
Mouse	Basilar membrane	UBERON_0002226	Normal	Normal cell	Hair cell	CL_0000855	Calretinin, Myosin VIIa	Calb2, Myo7a	12308, 17921	CALB2, MYO7A	Q08331, P97479	Experiment	26223713	NA
Mouse	Bone marrow	UBERON_0002371	Normal	Normal cell	Monocyte	CL_0000576	CD48	Cd48	12506	CD48	P18181	Experiment	23226623	NA
Mouse	Bone marrow	UBERON_0002371	Normal	Normal cell	Granulocyte	CL_0000094	CD48	Cd48	12506	CD48	P18181	Experiment	23226623	NA
Mouse	Heart	UBERON_0000948	Normal	Normal cell	Sinoatrial node cell	CL_1000409	Islet-1	Isl1	16392	ISL1	P61371	Experiment	22427341	NA
Mouse	Hippocampus	UBERON_0002421	Normal	Normal cell	Neural stem cell	CL_0000047	CD133	Prom1	19126	PROM1	O54990	Experiment	23407958	NA
Mouse	Small intestine	UBERON_0002108	Normal	Normal cell	Intestinal stem cell	CL_0000034	CD166, CD24, CD44, GRP78	Alcam, Cd24a, Cd44, Hspa5	11658, 12484, 12505, 14828	CD166, CD24, CD44, BIP	Q61490, P24807, P15379, P20029	Experiment	23644405	NA
Mouse	Colon	UBERON_0001155	Normal	Normal cell	Colonic stem cell	CL_0000034	CD166, CD24, CD44, c-Kit	Alcam, Cd24a, Cd44, Kit	11658, 12484, 12505, 16590	CD166, CD24, CD44, KIT	Q61490, P24807, P15379, P05532	Experiment	23644405	NA
Mouse	Spinal cord	UBERON_0002240	Normal	Normal cell	Neuron	CL_0000540	NF	Nfasc	269116	NFASC	Q810U3	Experiment	22648027	NA
Mouse	Spinal cord	UBERON_0002240	Normal	Normal cell	Oligodendrocyte precursor cell	CL_0002453	NG2	Cspg4	121021	CSPG4	Q8VHY0	Experiment	22648027	NA
Mouse	Intestinal crypt	UBERON_0001983	Normal	Normal cell	Paneth cell	CL_0000510	CD24	Cd24a	12484	CD24	P24807	Experiment	23704317	NA
Mouse	Spleen	UBERON_0002106	Normal	Normal cell	Regulatory T (Treg) cell	CL_0000815	CD25, CD4, CD49b	Il2ra, Cd4, Itga2	16184, 12504, 16398	IL2RA, CD4, ITA2	P01590, P06332, Q62469	Experiment	26590312	NA
Mouse	Skin	UBERON_0002097	Normal	Normal cell	Bulge stem cell	CL_0002337	CD34, Integrin alpha-6	Cd34, Itga6	12490, 16403	CD34, ITA6	Q64314, Q61739	Experiment	23483385	NA
Mouse	Spleen	UBERON_0002106	Normal	Normal cell	Neutrophil	CL_0000775	Ly6G, SSC	Ly6g, NA	546644, NA	LY6G, NA	P35461, NA	Experiment	22213571	NA
Mouse	Spleen	UBERON_0002106	Normal	Normal cell	Macrophage	CL_0000235	Ly6C, Ly6G, SSC	Ly6c1, Ly6g, NA	17067, 546644, NA	LY6C1, LY6G, NA	P0CW02, P35461, NA	Experiment	22213571	NA
Mouse	Spleen	UBERON_0002106	Normal	Normal cell	Monocyte	CL_0000576	Ly6C, Ly6G, SSC	Ly6c1, Ly6g, NA	17067, 546644, NA	LY6C1, LY6G, NA	P0CW02, P35461, NA	Experiment	22213571	NA
Mouse	Small intestine	UBERON_0002108	Normal	Normal cell	Intestinal stem cell	CL_0000034	Bmi1, Lgr5	Bmi1, Lgr5	12151, 14160	BMI1, LGR5	P25916, Q9Z1P4	Experiment	22190486	NA
Mouse	Brain	UBERON_0000955	Normal	Normal cell	Neural stem cell	CL_0000047	JAM-C	Jam3	83964	JAM3	Q9D8B7	Experiment	22114908	NA
Mouse	Peritoneal cavity	UBERON_0001179	Normal	Normal cell	Mast cell	CL_0000097	Fc-epsilon RI-alpha, c-Kit	Fcer1a, Kit	14125, 16590	FCERA, KIT	P20489, P05532	Experiment	22068549	NA
Mouse	Submandibular gland	UBERON_0001736	Normal	Normal cell	Submandibular gland stem cell	CL_0000034	c-Kit	Kit	16590	KIT	P05532	Experiment	21998334	NA
Mouse	Muscle	UBERON_0001630	Normal	Normal cell	Side-population cell	NA	CD45	Ptprc	19264	PTPRC	P06800	Experiment	12379804	NA
Mouse	Pancreas	UBERON_0001264	Normal	Normal cell	Pancreatic ductal cell	CL_0002079	CK7	Krt7	110310	K2C7	Q9DCV7	Experiment	17258722	NA
Mouse	Muscle	UBERON_0001630	Normal	Normal cell	Quiescent satellite cell	CL_0000514	CD34, Myf5	Cd34, Myf5	12490, 17877	CD34, MYF5	Q64314, P24699	Experiment	11121437	NA
Mouse	Undefined	NA	Normal	Normal cell	Macrophage	CL_0000235	c-Fms	Csf1r	12978	CSF1R	P09581	Experiment	9694732	NA
