speciesType	tissueType	UberonOntologyID	cancerType	cellType	cellName	CellOntologyID	cellMarker	geneSymbol	geneID	proteinName	proteinID	markerResource	PMID	Company
Human	Heart	UBERON_0000948	Normal	Normal cell	Semilunar valve cell	NA	MMP-13	MMP13	4322	MMP13	P45452	Experiment	16534030	NA
Human	Chorionic villus	UBERON_0007106	Normal	Normal cell	Villous stromal cell	NA	NOV, CYR61	NOV, CYR61	4856, 3491	NOV, CYR61	P48745, O00622	Experiment	16675545	NA
Human	Liver	UBERON_0002107	Normal	Normal cell	Kupffer cell	CL_0000091	CD11b, CD14, CD18, CD32, CD68	ITGAM, CD14, ITGB2, [FCGR2A, FCGR2B, FCGR2C], CD68	3684, 929, 3689, [2212, 2213, 9103], 968	ITAM, CD14, ITB2, [FCG2A, FCG2B, FCG2C], CD68	P11215, P08571, P05107, [P12318, P31994, P31995], P34810	Experiment	17692868	NA
Human	Adipose tissue	UBERON_0001013	Normal	Normal cell	Adipose-derived stromal cell	CL_0000499	CD144, CD31, CD34	CDH5, PECAM1, CD34	1003, 5175, 947	CADH5, PECA1, CD34	P33151, P16284, P28906	Experiment	17967785	NA
Human	Brain	UBERON_0000955	Normal	Normal cell	Oligodendrocyte	CL_0000128	NOGO	RTN4	57142	RTN4	Q9NQC3	Experiment	18515322	NA
Human	Amniotic fluid	UBERON_0000173	Normal	Normal cell	Mesenchymal stem cell	CL_0000134	CD44	CD44	960	CD44	P16070	Experiment	28017358	NA
Human	Cartilage	UBERON_0002418	Normal	Normal cell	Cartilage progenitor cell	CL_0000138	CD146, COL2	MCAM, COL2A1	4162, 1280	MUC18, COL2A1	P43121, P02458	Experiment	27130221	NA
Human	Bone	UBERON_0002481	Normal	Normal cell	Osteocyte	CL_0000137	DMP1, E11, MEPE, PHEX, SOST	DMP1, NA, MEPE, PHEX, SOST	1758, NA, 56955, 5251, 50964	DMP1, NA, MEPE, PHEX, SOST	Q13316, NA, Q9NQ76, P78562, Q9BQB4	Experiment	27109824	NA
Human	Bone	UBERON_0002481	Normal	Normal cell	Osteoclast	CL_0000092	CD56, RUNX2	NCAM1, RUNX2	4684, 860	NCAM1, RUNX2	P13591, Q13950	Experiment	26860863	NA
Human	Retina	UBERON_0000966	Normal	Normal cell	Bipolar cell	NA	Aquaporin-0, Go-alpha, ISLET-1	MIP, GNAS, ISL1	4282, 2778, 3670	MIP, GNAS2, ISL1	P30301, P63092, P61371	Experiment	26769220	NA
Human	Retina	UBERON_0000966	Normal	Normal cell	Muller cell	CL_0011107	GS	GLUL	2752	GLNA	P15104	Experiment	26769220	NA
Human	Peripheral blood	UBERON_0005408	Normal	Normal cell	Monocyte	CL_0000576	CD11b, CD16, CD19, CD2, CD3, CD56, CD94, NKG2A	ITGAM, [FCGR3A, FCGR3B], CD19, CD2, [CD3D, CD3E, CD3G], NCAM1, KLRD1, KLRC1	3684, [2214, 2215], 930, 914, [915, 916, 917], 4684, 3824, 3821	ITAM, [FCG3A, FCG3B], CD19, CD2, [CD3D, CD3E, CD3G], NCAM1, KLRD1, NKG2A	P11215, [P08637, O75015], P15391, P06729, [P04234, P07766, P09693], P13591, Q13241, P26715	Experiment	29610856	NA
Human	Blood	UBERON_0000178	Normal	Normal cell	Natural killer cell	CL_0000623	CD11b, CD16, CD19, CD2, CD3, CD56, CD94, NKG2A	ITGAM, [FCGR3A, FCGR3B], CD19, CD2, [CD3D, CD3E, CD3G], NCAM1, KLRD1, KLRC1	3684, [2214, 2215], 930, 914, [915, 916, 917], 4684, 3824, 3821	ITAM, [FCG3A, FCG3B], CD19, CD2, [CD3D, CD3E, CD3G], NCAM1, KLRD1, NKG2A	P11215, [P08637, O75015], P15391, P06729, [P04234, P07766, P09693], P13591, Q13241, P26715	Experiment	29610856	NA
Human	Tongue	UBERON_0001723	Tongue Squamous Cell Carcinoma	Cancer cell	Cancer stem cell	NA	BMI1, CD44, NANOG, OCT4	BMI1, CD44, NANOG, POU5F1	648, 960, 79923, 5460	BMI1, CD44, NANOG, PO5F1	P35226, P16070, Q9H9S0, Q01860	Experiment	29607565	NA
Human	Gingiva	UBERON_0001828	Normal	Normal cell	Mesenchymal stem cell	CL_0000134	CD105, CD166, CD29, CD44, CD49e, CD73, CD90	ENG, ALCAM, ITGB1, CD44, ITGA5, NT5E, THY1	2022, 214, 3688, 960, 3678, 4907, 7070	EGLN, CD166, ITB1, CD44, ITA5, 5NTD, THY1	P17813, Q13740, P05556, P16070, P08648, P21589, P04216	Experiment	29604386	NA
Human	Undefined	NA	Esophageal Adenocarcinoma	Cancer cell	Cancer stem cell	NA	ALDH, ALDH1, CD44	ALDH family, ALDH1A1, CD44	ALDH family, 216, 960	ALDH family, AL1A1, CD44	ALDH family, P00352, P16070	Experiment	29600369	NA
Human	Undefined	NA	Glioblastoma	Cancer cell	Mesenchymal stem cell	CL_0000134	CD105, CD14, CD31, CD34, CD44, CD73, CD90	ENG, CD14, PECAM1, CD34, CD44, NT5E, THY1	2022, 929, 5175, 947, 960, 4907, 7070	EGLN, CD14, PECA1, CD34, CD44, 5NTD, THY1	P17813, P08571, P16284, P28906, P16070, P21589, P04216	Experiment	29590646	NA
Human	Peripheral blood	UBERON_0005408	Normal	Normal cell	Monocyte	CL_0000576	CD14, CD19, CD20, CD27, CD3, CD38, IgA, IgG	CD14, CD19, MS4A1, CD27, [CD3D, CD3E, CD3G], CD38, CD79A, IgG family	929, 930, 931, 939, [915, 916, 917], 952, 973, IgG family	CD14, CD19, CD20, CD27, [CD3D, CD3E, CD3G], CD38, CD79A, IgG family	P08571, P15391, P11836, P26842, [P04234, P07766, P09693], P28907, P11912, IgG family	Experiment	29579044	NA
Human	Uterus	UBERON_0000995	Normal	Normal cell	Endometrial stem cell	CL_0000034	ICAM1, SUSD2	ICAM1, SUSD2	3383, 56241	ICAM1, SUSD2	P05362, Q9UGT4	Experiment	29575998	NA
Human	Liver	UBERON_0002107	Hepatocellular Cancer	Cancer cell	Cancer stem cell	NA	SOX9	SOX9	6662	SOX9	P48436	Experiment	27457505	NA
Human	Dental pulp	UBERON_0001754	Normal	Normal cell	Mesenchymal stem cell	CL_0000134	CD105, STRO-1	ENG, NA	2022, NA	EGLN, NA	P17813, NA	Experiment	28781092	NA
Human	Breast	UBERON_0000310	Normal	Normal cell	Natural killer cell	CL_0000623	CD56	NCAM1	4684	NCAM1	P13591	Experiment	29090365	NA
Human	Dental pulp	UBERON_0001754	Normal	Normal cell	Dental pulp stem cell	CL_0000034	CD105, CD29, CD44, CD73	ENG, ITGB1, CD44, NT5E	2022, 3688, 960, 4907	EGLN, ITB1, CD44, 5NTD	P17813, P05556, P16070, P21589	Experiment	24837475	NA
Human	Liver	UBERON_0002107	Liver Cancer	Cancer cell	Cancer stem cell	NA	KIAA1114	TRO	7216	TROP	Q12816	Experiment	24713374	NA
Human	Peripheral blood	UBERON_0005408	Normal	Normal cell	B cell	CL_0000236	CD19, CD27, CD38, CD45, IgD, ZAP70	CD19, CD27, CD38, PTPRC, IgD family, ZAP70	930, 939, 952, 5788, IgD family, 7535	CD19, CD27, CD38, PTPRC, IgD family, ZAP70	P15391, P26842, P28907, P08575, IgD family, P43403	Experiment	25187226	NA
Human	Adipose tissue	UBERON_0001013	Normal	Normal cell	Adipose-derived stem cell	CL_0000034	CD146, CD90, KLF4, NANOG, Nestin, OCT4, PDGFR, SOX2	MCAM, THY1, KLF4, NANOG, NES, POU5F1, PDGFRB, SOX2	4162, 7070, 9314, 79923, 10763, 5460, 5159, 6657	MUC18, THY1, KLF4, NANOG, NEST, PO5F1, PGFRB, SOX2	P43121, P04216, O43474, Q9H9S0, P48681, Q01860, P09619, P48431	Experiment	29214313	NA
Human	Adipose tissue	UBERON_0001013	Normal	Normal cell	Preadipocyte progenitor cell	NA	CD34, PDGFR-alpha	CD34, PDGFRA	947, 5156	CD34, PGFRA	P28906, P16234	Experiment	28715395	NA
Human	Undefined	NA	Osteosarcoma	Cancer cell	Cancer stem cell	NA	CD271	NGFR	4804	TNR16	P08138	Experiment	24893164	NA
Human	Undefined	NA	Normal	Normal cell	Regulatory T (Treg) cell	CL_0000815	CD49b, LAG3	ITGA2, LAG3	3673, 3902	ITA2, LAG3	P17301, P18627	Experiment	28929191	NA
Human	Stomach	UBERON_0000945	Gastric Cancer	Cancer cell	Cancer stem cell	NA	CD49f	ITGA6	3655	ITA6	P23229	Experiment	24015244	NA
Human	Nucleus pulposus	UBERON_0002242	Normal	Normal cell	Nucleus pulposus cell	CL_0002564	CA12, CD24, FOXF1, KRT19, PAX1, PTN	CA12, CD24, FOXF1, KRT19, PAX1, PTN	771, 100133941, 2294, 3880, 5075, 5764	CAH12, CD24, FOXF1, K1C19, PAX1, PTN	O43570, P25063, Q12946, P08727, P15863, P21246	Experiment	24972717	NA
Human	Urine	UBERON_0001088	Normal	Normal cell	Urine-derived stem cell	NA	CD105, CD146, CD34, CD45, CD73, CD90, OCT3/4, STRO-1	ENG, MCAM, CD34, PTPRC, NT5E, THY1, POU5F1, NA	2022, 4162, 947, 5788, 4907, 7070, 5460, NA	EGLN, MUC18, CD34, PTPRC, 5NTD, THY1, PO5F1, NA	P17813, P43121, P28906, P08575, P21589, P04216, Q01860, NA	Experiment	28409292	NA
Human	Pancreas	UBERON_0001264	Pancreatic Ductal Adenocarcinomas	Cancer cell	Fibroblast	CL_0000057	COL11A1	COL11A1	1301	COBA1	P12107	Experiment	24194920	NA
Human	Undefined	NA	Serous Ovarian Cancer	Cancer cell	Fibroblast	CL_0000057	CD90	THY1	7070	THY1	P04216	Experiment	25170899	NA
Human	Undefined	NA	Renal Clear Cell Carcinoma	Cancer cell	Immune cell	CL_0000738	CD11a, CD11b, CD170, CD172g, CD18, CD195, CD2, CD229, CD28, CD3, CD305, CD319, CD32, CD352, CD4, CD43, CD45, CD45RB, CD45RO, CD48, CD5, CD50, CD52, CD53, CD6, CD60b, CD69, CD7, CD85a, CD86, CD96, CDW198, HLA-DR	ITGAL, ITGAM, SIGLEC5, SIRPG, ITGB2, CCR5, CD2, LY9, CD28, [CD3D, CD3E, CD3G], LAIR1, SLAMF7, [FCGR2A, FCGR2B, FCGR2C], SLAMF6, CD4, SPN, PTPRC, NA, PTPRC, CD48, CD5, ICAM3, CD52, CD53, CD6, CD6, CD69, CD7, LILRB3, CD86, CD96, CCR8, HLA-DR family	3683, 3684, 8778, 55423, 3689, 1234, 914, 4063, 940, [915, 916, 917], 3903, 57823, [2212, 2213, 9103], 114836, 920, 6693, 5788, NA, 5788, 962, 921, 3385, 1043, 963, 923, 923, 969, 924, 11025, 942, 10225, 1237, HLA-DR family	ITAL, ITAM, SIGL5, SIRPG, ITB2, CCR5, CD2, LY9, CD28, [CD3D, CD3E, CD3G], LAIR1, SLAF7, [FCG2A, FCG2B, FCG2C], SLAF6, CD4, LEUK, PTPRC, NA, PTPRC, CD48, CD5, ICAM3, CD52, CD53, CD6, CD6, CD69, CD7, LIRB3, CD86, TACT, CCR8, HLA-DR family	P20701, P11215, O15389, Q9P1W8, P05107, P51681, P06729, Q9HBG7, P10747, [P04234, P07766, P09693], Q6GTX8, Q9NQ25, [P12318, P31994, P31995], Q96DU3, P01730, P16150, P08575, NA, P08575, P09326, P06127, P32942, P31358, P19397, P30203, P30203, Q07108, P09564, O75022, P42081, P40200, P51685, HLA-DR family	Experiment	25170899	NA
Human	Undefined	NA	Renal Clear Cell Carcinoma	Cancer cell	Endothelial cell	CL_0000115	CD123, CD144, CD201, CD202b, CD220, CD231, CD269, CD292, CD309, CD332, CD66, CD66d, CD73, CD77, HPC	IL3RA, CDH5, A4GALT, TEK, INSR, TSPAN7, TNFRSF17, BMPR1A, KDR, FGFR2, CEA family, CEACAM3, NT5E, PROCR, NA	3563, 1003, 10544, 7010, 3643, 7102, 608, 657, 3791, 2263, CEA family, 1084, 4907, 53947, NA	IL3RA, CADH5, EPCR, TIE2, INSR, TSN7, TNR17, BMR1A, VGFR2, FGFR2, CEA family, CEAM3, 5NTD, A4GAT, NA	P26951, P33151, Q9UNN8, Q02763, P06213, P41732, Q02223, P36894, P35968, P21802, CEA family, P40198, P21589, Q9NPC4, NA	Experiment	25170899	NA
Human	Undefined	NA	Renal Clear Cell Carcinoma	Cancer cell	Fibroblast	CL_0000057	CD111, CD140b, CD156b, CD271	NECTIN1, PDGFRB, ADAM17, NGFR	5818, 5159, 6868, 4804	NECT1, PGFRB, ADA17, TNR16	Q15223, P09619, P78536, P08138	Experiment	25170899	NA
Human	Undefined	NA	Normal	Normal cell	Endothelial cell	CL_0000115	CD209	CD209	30835	CD209	Q9NNX6	Experiment	25170899	NA
Human	Undefined	NA	Normal	Normal cell	T cell	CL_0000084	CD150	SLAMF1	6504	SLAF1	Q13291	Experiment	25170899	NA
Human	Undefined	NA	Normal	Normal cell	B cell	CL_0000236	CD150	SLAMF1	6504	SLAF1	Q13291	Experiment	25170899	NA
Human	Undefined	NA	Normal	Normal cell	Thymocyte	CL_0000893	CD150	SLAMF1	6504	SLAF1	Q13291	Experiment	25170899	NA
Human	Undefined	NA	Normal	Normal cell	Dendritic cell	CL_0000451	CD150	SLAMF1	6504	SLAF1	Q13291	Experiment	25170899	NA
Human	Undefined	NA	Normal	Normal cell	Neutrophil	CL_0000775	CD16b	FCGR3B	2215	FCG3B	O75015	Experiment	25170899	NA
Human	Undefined	NA	Normal	Normal cell	B cell	CL_0000236	FMC7	MS4A1	931	CD20	P11836	Experiment	25170899	NA
Human	Undefined	NA	Normal	Normal cell	Lymphocyte	CL_0000542	CD197	CCR7	1236	CCR7	P32248	Experiment	25170899	NA
Human	Brain	UBERON_0000955	Glioblastoma	Cancer cell	Cancer stem cell	NA	CD133	PROM1	8842	PROM1	O43490	Experiment	29492900	NA
Human	Peripheral blood	UBERON_0005408	Normal	Normal cell	Endothelial progenitor cell	CL_0002619	CD34, CD45, VEGFR-2	CD34, PTPRC, KDR	947, 5788, 3791	CD34, PTPRC, VGFR2	P28906, P08575, P35968	Experiment	27561827	NA
Human	Peripheral blood	UBERON_0005408	Normal	Normal cell	Endothelial cell	CL_0000115	CD133, CD144, CD34, CD45	PROM1, CDH5, CD34, PTPRC	8842, 1003, 947, 5788	PROM1, CADH5, CD34, PTPRC	O43490, P33151, P28906, P08575	Experiment	27561827	NA
Human	Kidney	UBERON_0002113	Renal Cell Carcinoma	Cancer cell	Tumor endothelial cell	CL_0000115	SBSN	SBSN	374897	SBSN	Q6UWP8	Experiment	25283635	NA
Human	Colon	UBERON_0001155	Colon Cancer	Cancer cell	Tumor endothelial cell	CL_0000115	SBSN	SBSN	374897	SBSN	Q6UWP8	Experiment	25283635	NA
Human	Gonad	UBERON_0000991	Normal	Normal cell	Premeiotic germ cell	CL_0000586	MAGE-A4	MAGEA4	4103	MAGA4	P43358	Experiment	29393262	NA
Human	Gonad	UBERON_0000991	Normal	Normal cell	Gonocyte	CL_0000670	OCT3/4	POU5F1	5460	PO5F1	Q01860	Experiment	29393262	NA
Human	Adipose tissue	UBERON_0001013	Normal	Normal cell	Mesenchymal stem cell	CL_0000134	CD31, CD34, CD44, CD45, CD73, CD90, CD105	PECAM1, CD34, CD44, PTPRC, NT5E, THY1, ENG	5175, 947, 960, 5788, 4907, 7070, 2022	PECA1, CD34, CD44, PTPRC, 5NTD, THY1, EGLN	P16284, P28906, P16070, P08575, P21589, P04216, P17813	Experiment	24978442	NA
Human	Testis	UBERON_0000473	Normal	Normal cell	Gonocyte	CL_0000670	SSEA-4	NA	NA	NA	NA	Experiment	25030892	NA
Human	Testis	UBERON_0000473	Normal	Normal cell	Spermatogonial stem cell	CL_0000089	SSEA-4	NA	NA	NA	NA	Experiment	25030892	NA
Human	Testis	UBERON_0000473	Normal	Normal cell	Sertoli cell	CL_0000216	SSEA-4	NA	NA	NA	NA	Experiment	25030892	NA
Human	Testis	UBERON_0000473	Normal	Normal cell	Gonocyte	CL_0000670	THY1	THY1	7070	THY1	P04216	Experiment	25030892	NA
Human	Testis	UBERON_0000473	Normal	Normal cell	Gonocyte	CL_0000670	c-Kit	KIT	3815	KIT	P10721	Experiment	25030892	NA
Human	Bone marrow	UBERON_0002371	Normal	Normal cell	Mesenchymal stromal cell	CL_0000134	beta-2-microglobulin, CD105, CD13, CD147, CD151, CD276, CD29, CD44, CD47, CD59, CD73, CD81, CD90, CD98, HLA-ABC, Vimentin	B2M, ENG, ANPEP, BSG, CD151, CD276, ITGB1, CD44, CD47, CD59, NT5E, CD81, THY1, SLC3A2, HLA-ABC family, VIM	567, 2022, 290, 682, 977, 80381, 3688, 960, 961, 966, 4907, 975, 7070, 6520, HLA-ABC family, 7431	B2MG, EGLN, AMPN, BASI, CD151, CD276, ITB1, CD44, CD47, CD59, 5NTD, CD81, THY1, 4F2, HLA-ABC family, VIME	P61769, P17813, P15144, P35613, P48509, Q5ZPR3, P05556, P16070, Q08722, P13987, P21589, P60033, P04216, P08195, HLA-ABC family, P08670	Experiment	29338788	NA
Human	Pancreas	UBERON_0001264	Normal	Normal cell	Pancreatic stem cell	CL_0000034	c-Kit	KIT	3815	KIT	P10721	Experiment	23978330	NA
Human	Peripheral blood	UBERON_0005408	Normal	Normal cell	Myeloid-derived suppressor cell	CL_0000889	CD11b, CD33, CD39	ITGAM, CD33, ENTPD1	3684, 945, 953	ITAM, CD33, ENTP1	P11215, P20138, P49961	Experiment	29108995	NA
Human	Peripheral blood	UBERON_0005408	Normal	Normal cell	Myeloid-derived suppressor cell	CL_0000889	CD11b, CD11c, CD14, CD1d, CD220, CD226, CD24, CD244, CD328, CD33, CD39, CD42b, CD46, CD49a, CD49d, CD49e, CD49f, CD52, CD53, CD54, CD56, CD62L, CD62P, CD66a, CD66c, CD66e, CD69, CD71, CD81, CD84, CD85d, CD85h, CD85j, CD85k	ITGAM, ITGAX, CD14, CD1D, INSR, CD226, CD24, CD244, SIGLEC7, CD33, ENTPD1, GP1BA, CD46, ITGA1, ITGA4, ITGA5, ITGA6, CD52, CD53, ICAM1, NCAM1, SELL, SELP, CEACAM1, CEACAM6, CEACAM5, CD69, TFRC, CD81, CD84, LILRB2, LILRA2, LILRB1, LILRB4ITGAM	3684, 3687, 929, 912, 3643, 10666, 100133941, 51744, 27036, 945, 953, 2811, 4179, 3672, 3676, 3678, 3655, 1043, 963, 3383, 4684, 6402, 6403, 634, 4680, 1048, 969, 7037, 975, 8832, 10288, 11027, 10859, 11006	ITAM, ITAX, CD14, CD1D, INSR, CD226, CD24, CD244, SIGL7, CD33, ENTP1, GP1BA, MCP, ITA1, ITA4, ITA5, ITA6, CD52, CD53, ICAM1, NCAM1, LYAM1, LYAM3, CEAM1, CEAM6, CEAM5, CD69, TFR1, CD81, SLAF5, LIRB2, LIRA2, LIRB1, LIRB4	P11215, P20702, P08571, P15813, P06213, Q15762, P25063, Q9BZW8, Q9Y286, P20138, P49961, P07359, P15529, P56199, P13612, P08648, P23229, P31358, P19397, P05362, P13591, P14151, P16109, P13688, P40199, P06731, Q07108, P02786, P60033, Q9UIB8, Q8N423, Q8N149, Q8NHL6, Q8NHJ6	Experiment	29108995	NA
Human	Brain	UBERON_0000955	Glioblastoma	Cancer cell	Cancer stem cell	NA	CADM1, CLCC1, HMOX1, SCAMP3, SLC16A1	CADM1, CLCC1, HMOX1, SCAMP3, SLC16A1	23705, 23155, 3162, 10067, 6566	CADM1, CLCC1, HMOX1, SCAM3, MOT1	Q9BY67, Q96S66, P09601, O14828, P53985	Experiment	27354342	NA
Human	Undefined	NA	Normal	Normal cell	Mesenchymal stem cell	CL_0000134	CD29, CD73, CD90, D105	ITGB1, NT5E, THY1, ENG	3688, 4907, 7070, 2022	ITB1, 5NTD, THY1, EGLN	P05556, P21589, P04216, P17813	Experiment	28096632	NA
Human	Breast	UBERON_0000310	Breast Cancer	Cancer cell	Cancer stem cell	NA	ALDH1	ALDH1A1	216	AL1A1	P00352	Experiment	24461456	NA
Human	Colon	UBERON_0001155	Normal	Normal cell	CD4+ T cell	CL_0000624	CCR6	CCR6	1235	CCR6	P51684	Experiment	27835617	NA
Human	Blood	UBERON_0000178	Normal	Normal cell	CD4+ T cell	CL_0000624	CCR6	CCR6	1235	CCR6	P51684	Experiment	27835617	NA
Human	Lung	UBERON_0002048	Normal	Normal cell	Anterior foregut endoderm cell	CL_0000223	Carboxypeptidase M	CPM	1368	CBPM	P14384	Experiment	25241738	NA
Human	Breast	UBERON_0000310	Breast Cancer	Cancer cell	Cancer stem cell	NA	CD24, CD44	CD24, CD44	100133941, 960	CD24, CD44	P25063, P16070	Experiment	24099815	NA
Human	Bone marrow	UBERON_0002371	Normal	Normal cell	Dendritic cell	CL_0000451	CD40, CD80, CD86, MHC class II	CD40, CD80, CD86, MHC class II	958, 941, 942, MHC class II	TNR5, CD80, CD86, MHC class II	P25942, P33681, P42081, MHC class II	Experiment	27809931	NA
Human	Adipose tissue	UBERON_0001013	Normal	Normal cell	Endoderm progenitor cell	NA	CD133, CD31, CD34	PROM1, PECAM1, CD34	8842, 5175, 947	PROM1, PECA1, CD34	O43490, P16284, P28906	Experiment	24094492	NA
Human	Blood	UBERON_0000178	Normal	Normal cell	Natural killer cell	CL_0000623	CD94	KLRD1	3824	KLRD1	Q13241	Experiment	29123958	NA
Human	Blood	UBERON_0000178	Normal	Normal cell	Circulating fetal cell	NA	ACTB, ATF4, CD33, CD68, CD9, CDC42_1, CLDN6, COL1A2, CRABP1, CRIP1, CRYL1, CTNNB1, DLX5, EN1, F11R, FIGD, FOXA2, GATA5, HAMP, HMGA1, IL7R, JUN, JUNB, KCNQ4, MCAM, MMP9, NCAM1, OLIG2, PBLD, PDGFC, PF4, PUM2, SELE, SELPLG, SMAD3, SMC3, SOX13, TCF3, TNC	ACTB, ATF4, CD33, CD68, CD9, CDC42, CLDN6, COL1A2, CRABP1, CRIP1, CRYL1, CTNNB1, DLX5, EN1, F11R, NA, FOXA2, GATA5, HAMP, HMGA1, IL7R, JUN, JUNB, KCNQ4, MCAM, MMP9, NCAM1, OLIG2, PBLD, PDGFC, PF4, PUM2, SELE, SELPLG, SMAD3, SMC3, SOX13, TCF3, TNC, 	60, 468, 945, 968, 928, 998, 9074, 1278, 1381, 1396, 51084, 1499, 1749, 2019, 50848, NA, 3170, 140628, 57817, 3159, 3575, 3725, 3726, 9132, 4162, 4318, 4684, 10215, 64081, 56034, 5196, 23369, 6401, 6404, 4088, 9126, 9580, 6929, 3371, 	ACTB, ATF4, CD33, CD68, CD9, CDC42, CLD6, CO1A2, RABP1, CRIP1, CRYL1, NA, DLX5, HME1, JAM1, NA, FOXA2, GATA5, HEPC, HMGA1, IL7RA, JUN, JUNB, KCNQ4, MUC18, MMP9, NCAM1, OLIG2, PBLD, PDGFC, PLF4, PUM2, LYAM2, SELPL, SMAD3, SMC3, SOX13, TFE2, TENA, 	P60709, P18848, P20138, P34810, P21926, P60953, P56747, P08123, P29762, P50238, Q9Y2S2, P56178, Q05925, Q9Y624, Q9Y261, NA, Q9BWX5, P81172, P17096, P16871, P05412, P17275, P56696, P43121, P14780, P13591, Q13516, P30039, Q9NRA1, P02776, Q8TB72, P16581, Q14242, P84022, Q9UQE7, Q9UN79, P15923, P24821, P24821	Experiment	24217417	NA
Human	Brain	UBERON_0000955	Normal	Normal cell	Neural progenitor cell	NA	CD271, GFAPdelta	NGFR, GFAP	4804, 2670	TNR16, GFAP	P08138, P14136	Experiment	24604282	NA
Human	Embryo	UBERON_0000922	Normal	Normal cell	Astroglial progenitor cell	NA	PBXIP1	PBXIP1	57326	PBIP1	Q96AQ6	Experiment	24470547	NA
Human	Undefined	NA	Colorectal Cancer	Cancer cell	Cancer stem cell	NA	FLT1	FLT1	2321	VGFR1	P17948	Experiment	29100318	NA
Human	Skin	UBERON_0002097	Normal	Normal cell	Endothelial cell	CL_0000115	CD31, VWF	PECAM1, VWF	5175, 7450	PECA1, VWF	P16284, P04275	Experiment	28135608	NA
Human	Undefined	NA	Leukemia	Cancer cell	Cancer stem cell	NA	CD34, CD38	CD34, CD38	947, 952	CD34, CD38	P28906, P28907	Experiment	24689055	NA
Human	Undefined	NA	Pancreatic Cancer	Cancer cell	Cancer stem cell	NA	CD133, CD24, CD44	PROM1, CD24, CD44	8842, 100133941, 960	PROM1, CD24, CD44	O43490, P25063, P16070	Experiment	24689055	NA
Human	Undefined	NA	Normal	Normal cell	Endothelial cell	CL_0000115	CD31	PECAM1	5175	PECA1	P16284	Experiment	25001945	NA
Human	Peripheral blood	UBERON_0005408	Normal	Normal cell	Natural killer cell	CL_0000623	CD49a, CXCR6	ITGA1, CXCR6	3672, 10663	ITA1, CXCR6	P56199, O00574	Experiment	28952190	NA
Human	Undefined	NA	Prostate Cancer	Cancer cell	Paneth cell	CL_0000510	AMACR	AMACR	23600	AMACR	Q9UHK6	Experiment	25031776	NA
Human	Undefined	NA	Glioblastoma	Cancer cell	Cancer stem cell	NA	CD133	PROM1	8842	PROM1	O43490	Experiment	29392691	NA
Human	Thymus	UBERON_0002370	Normal	Normal cell	Epithelial cell	CL_0000066	EpCAM, FZ4, K8, WNT4	EPCAM, FZD4, KRT8, WNT4	4072, 8322, 3856, 54361	EPCAM, FZD4, K2C8, WNT4	P16422, Q9ULV1, P05787, P56705	Experiment	24768153	NA
Human	Blood vessel	UBERON_0001981	Normal	Normal cell	Mesenchymal stromal cell	CL_0000134	CD90	THY1	7070	THY1	P04216	Experiment	25244528	NA
